start1	end1	start2	end2	col
2325625354	2325625354	2642788538	2642788538	28
2411049492	2411049492	2638493440	2638493440	28
2790906682	2790906682	358671822	358671822	28
4529708849	4529708849	2943438356	2943438356	28
4528899993	4528899993	2946148912	2946148912	28
696997624	696997624	2895517534	2895517534	28
433993784	433993784	2938062312	2938062312	28
4516735992	4516735992	2908771983	2908771983	28
4516292802	4516292802	2908124088	2908124088	28
3186878284	3186878284	2668604667	2668604667	28
964400177	964400177	2926968049	2926968049	28
2318840137	2318840137	2600354574	2600354574	28
2324350612	2324350612	2589009298	2589009298	28
3200742828	3200742828	2691806122	2691806122	28
2297175744	2297175744	2604342946	2604342946	28
2303288588	2303288588	2606175925	2606175925	28
2355692909	2355692909	2642900932	2642900932	28
2324143705	2324143705	2589291036	2589291036	28
2415420073	2415420073	2590467664	2590467664	28
1978914786	1978914786	4769804718	4769804718	27
2789981581	2789981581	4036185827	4036185827	27
2168112292	2168112292	4040514786	4040514786	27
2168051334	2168051334	4040589608	4040589608	27
2167369319	2167369319	4040632010	4040632010	27
2169348669	2169348669	4058033655	4058033655	27
1991778396	1991778396	4776420574	4776420574	27
1988117470	1988117470	4776544484	4776544484	27
198541270	198541270	4778429938	4778429938	27
2112113787	2112113787	4029762621	4029762621	27
1972493488	1972493488	4760223804	4760223804	27
1980024743	1980024743	4763387796	4763387796	27
1980772313	1980772313	4778190796	4778190796	27
4944879976	4944879976	3426490310	3426490310	27
4862595162	4862595162	3436391777	3436391777	27
1499145184	1499145184	3436094798	3436094798	27
4895590097	4895590097	3663550049	3663550049	27
1404023128	1404023128	3674848271	3674848271	27
1946838971	1946838971	4780261736	4780261736	27
4525811676	4525811676	2849939997	2849939997	26
3153321885	3153321885	2840743693	2840743693	26
4517214007	4517214007	2845362225	2845362225	26
312316899	312316899	2865832869	2865832869	26
3246617464	3246617464	2864986042	2864986042	26
3564839057	3564839057	2863375516	2863375516	26
2840067786	2840067786	1505776684	1505776684	26
3220761927	3220761927	2855945253	2855945253	26
2993641506	2993641506	2853456216	2853456216	26
2995448596	2995448596	2858224063	2858224063	26
4489824589	4489824589	2838023438	2838023438	26
3219758068	3219758068	2853790716	2853790716	26
3376146559	3376146559	2035031486	2035031486	25
1119763150	1119763150	3849073772	3849073772	25
1707722587	1707722587	3861034273	3861034273	25
1273662733	1273662733	3855384831	3855384831	25
1293321968	1293321968	3893431183	3893431183	25
1608902818	1608902818	3858197728	3858197728	25
1619666665	1619666665	3859102470	3859102470	25
5051374846	5051374846	2093356563	2093356563	25
3371933691	3371933691	2102536358	2102536358	25
5053400009	5053400009	2098749863	2098749863	25
102229920	102229920	363482014	363482014	25
908906718	908906718	2305348186	2305348186	25
373442787	373442787	360296861	360296861	25
1603481314	1603481314	3821746263	3821746263	25
1620867760	1620867760	3841985317	3841985317	25
1620118610	1620118610	3842322676	3842322676	25
1709844064	1709844064	3828421795	3828421795	25
1137389991	1137389991	3861754276	3861754276	25
1769934913	1769934913	3833958844	3833958844	25
1119667555	1119667555	3869570687	3869570687	25
1621017063	1621017063	3823447611	3823447611	25
1585189856	1585189856	3824001646	3824001646	25
1184143709	1184143709	3879304385	3879304385	25
1143261048	1143261048	3877168195	3877168195	25
1253529604	1253529604	3876994350	3876994350	25
1711591485	1711591485	3818292387	3818292387	25
1664380636	1664380636	4487610629	4487610629	25
1183515962	1183515962	3881239182	3881239182	25
1775113303	1775113303	3823058396	3823058396	25
1710605716	1710605716	3828088107	3828088107	25
1775442846	1775442846	3822758937	3822758937	25
998565065	998565065	4341037697	4341037697	24
959259694	959259694	4357594614	4357594614	24
1002818186	1002818186	4364726622	4364726622	24
943475543	943475543	4356140955	4356140955	24
958903765	958903765	4372695191	4372695191	24
2587087483	2587087483	1124477351	1124477351	23
3874432736	3874432736	1148189425	1148189425	23
3713369274	3713369274	1125536039	1125536039	23
3873739358	3873739358	1149442855	1149442855	23
3711491798	3711491798	1124377076	1124377076	23
456929051	456929051	3772027189	3772027189	23
3873683315	3873683315	1149503070	1149503070	23
903636180	903636180	1137547203	1137547203	23
3874526229	3874526229	1226894083	1226894083	23
504920520	504920520	566778659	566778659	23
1352323191	1352323191	3265734223	3265734223	23
2761441197	2761441197	324910213	324910213	23
418326635	418326635	567506764	567506764	23
3853283573	3853283573	548968194	548968194	23
494183639	494183639	1022253409	1022253409	23
3685152360	3685152360	1063066604	1063066604	23
2654812610	2654812610	1057274798	1057274798	23
2764164661	2764164661	342217535	342217535	23
1967980192	1967980192	3783229303	3783229303	22
1967756952	1967756952	3800825026	3800825026	22
1967647472	1967647472	3800763662	3800763662	22
1962212271	1962212271	3751860597	3751860597	22
58082700	58082700	3782795010	3782795010	22
4282773218	4282773218	3750365116	3750365116	22
4308092240	4308092240	3768695841	3768695841	22
4282082990	4282082990	3789945811	3789945811	22
1922859238	1922859238	3790278898	3790278898	22
1859176578	1859176578	4078491050	4078491050	22
140968109	140968109	4139806854	4139806854	22
1851074153	1851074153	4140295552	4140295552	22
4352254802	4352254802	3123591599	3123591599	22
1942450358	1942450358	4139898413	4139898413	22
1945265894	1945265894	4143356172	4143356172	22
1912119058	1912119058	4073342179	4073342179	22
