chr	locus	value
chr17	41628720	chr17
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr12	43892527	aRhiBiv1_chr12
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
aRhiBiv1_chr14	41331154	aRhiBiv1_chr14
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr14	7748530	bCalAnn1_chr14
bCalAnn1_chr18	5808860	bCalAnn1_chr18
bCalAnn1_chr19	5583001	bCalAnn1_chr19
bCalAnn1_chr27	2874537	bCalAnn1_chr27
bCalAnn1_chr4A	22372672	bCalAnn1_chr4A
bCalAnn1_chrW	13224388	bCalAnn1_chrW
bCalAnn1_chrZ	37040502	bCalAnn1_chrZ
bCalAnn1_scaffold_18_arrow_ctg1	24797	bCalAnn1_scaffold_18_arrow_ctg1
bCalAnn1_scaffold_81_arrow_ctg1	96435	bCalAnn1_scaffold_81_arrow_ctg1
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr4	43230195	bStrHab1_chr4
bStrHab1_chr7	35065617	bStrHab1_chr7
bStrHab1_chr14	6442061	bStrHab1_chr14
bStrHab1_chr19	2894614	bStrHab1_chr19
bStrHab1_chr23	1392641	bStrHab1_chr23
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bStrHab1_S16	6112199	bStrHab1_S16
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr4	35776459	bTaeGut1_chr4
bTaeGut1_chr9	12787832	bTaeGut1_chr9
bTaeGut1_chr14	8336733	bTaeGut1_chr14
bTaeGut1_chr15	7163281	bTaeGut1_chr15
bTaeGut1_chr18	5522259	bTaeGut1_chr18
bTaeGut1_chr19	4290453	bTaeGut1_chr19
bTaeGut1_chr27	2713298	bTaeGut1_chr27
bTaeGut1_chr29	2105131	bTaeGut1_chr29
bTaeGut1_chr4A	9912156	bTaeGut1_chr4A
bTaeGut1_chrZ	37729853	bTaeGut1_chrZ
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr8	10916276	fAnaTes1_chr8
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr13	12956420	fAnaTes1_chr13
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr21	12248170	fAnaTes1_chr21
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr8	15189776	fArcCen1_chr8
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr13	21744641	fArcCen1_chr13
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_scaffold_30_ctg1	2198798	fArcCen1_scaffold_30_ctg1
fArcCen1_scaffold_43_ctg1	1281584	fArcCen1_scaffold_43_ctg1
fAstCal1_chr4	16716539	fAstCal1_chr4
fAstCal1_chr5	19339139	fAstCal1_chr5
