chr	locus	value
chr7	79672986	chr7
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr14	41331154	aRhiBiv1_chr14
aRhiBiv1_chr17	31968323	aRhiBiv1_chr17
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr14	7748530	bCalAnn1_chr14
bCalAnn1_chr19	5583001	bCalAnn1_chr19
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr4	43230195	bStrHab1_chr4
bStrHab1_S16	6112199	bStrHab1_S16
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr14	8336733	bTaeGut1_chr14
bTaeGut1_chr19	4290453	bTaeGut1_chr19
bTaeGut1_chr27	2713298	bTaeGut1_chr27
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
bTaeGut1_scaffold_289_arrow_ctg1	839314	bTaeGut1_scaffold_289_arrow_ctg1
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr7	12553221	fAnaTes1_chr7
fAnaTes1_chr8	10916276	fAnaTes1_chr8
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr13	12956420	fAnaTes1_chr13
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr23	7679556	fAnaTes1_chr23
fAnaTes1_chr24	9966734	fAnaTes1_chr24
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr7	18908629	fArcCen1_chr7
fArcCen1_chr8	15189776	fArcCen1_chr8
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr13	21744641	fArcCen1_chr13
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_chr20	16555437	fArcCen1_chr20
fArcCen1_chr23	12310491	fArcCen1_chr23
fArcCen1_chr24	17998600	fArcCen1_chr24
fArcCen1_scaffold_204_ctg1	9211	fArcCen1_scaffold_204_ctg1
fAstCal1_chr4	16716539	fAstCal1_chr4
fAstCal1_chr5	19339139	fAstCal1_chr5
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr8	12913854	fAstCal1_chr8
fAstCal1_chr9	17956569	fAstCal1_chr9
fAstCal1_chr10	17037060	fAstCal1_chr10
fAstCal1_chr11	18338033	fAstCal1_chr11
fAstCal1_chr14	19992677	fAstCal1_chr14
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr17	19724457	fAstCal1_chr17
fAstCal1_chr18	17926294	fAstCal1_chr18
fAstCal1_chr20	15733877	fAstCal1_chr20
fAstCal1_chr22	17505732	fAstCal1_chr22
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr6	13840172	fCotGob3_chr6
fCotGob3_chr8	11716268	fCotGob3_chr8
fCotGob3_chr11	11096709	fCotGob3_chr11
fCotGob3_chr13	13871458	fCotGob3_chr13
fCotGob3_chr14	12852251	fCotGob3_chr14
