chr	locus	value
chr13	57182164	chr13
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr18	30676873	aRhiBiv1_chr18
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr4	9298558	bCalAnn1_chr4
bCalAnn1_chr4A	22372672	bCalAnn1_chr4A
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr9	22215744	bStrHab1_chr9
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr4	35776459	bTaeGut1_chr4
bTaeGut1_chr4A	9912156	bTaeGut1_chr4A
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr13	12956420	fAnaTes1_chr13
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr15	10960625	fAnaTes1_chr15
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr21	12248170	fAnaTes1_chr21
fAnaTes1_chr24	9966734	fAnaTes1_chr24
fArcCen1_chr2	15730425	fArcCen1_chr2
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr13	21744641	fArcCen1_chr13
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr15	15211719	fArcCen1_chr15
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_chr20	16555437	fArcCen1_chr20
fArcCen1_chr21	17795000	fArcCen1_chr21
fArcCen1_chr24	17998600	fArcCen1_chr24
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr8	12913854	fAstCal1_chr8
fAstCal1_chr9	17956569	fAstCal1_chr9
fAstCal1_chr10	17037060	fAstCal1_chr10
fAstCal1_chr13	16572975	fAstCal1_chr13
fAstCal1_chr14	19992677	fAstCal1_chr14
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr16	17900926	fAstCal1_chr16
fAstCal1_chr22	17505732	fAstCal1_chr22
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr2	6461564	fCotGob3_chr2
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr11	11096709	fCotGob3_chr11
fCotGob3_chr13	13871458	fCotGob3_chr13
fCotGob3_chr14	12852251	fCotGob3_chr14
fCotGob3_chr15	12481605	fCotGob3_chr15
fCotGob3_chr20	8799899	fCotGob3_chr20
fCotGob3_chr21	12052396	fCotGob3_chr21
fCotGob3_chr24	11220910	fCotGob3_chr24
fCotGob3_fCotGob3_293arrow_ctg1	181203	fCotGob3_fCotGob3_293arrow_ctg1
fCotGob3_fCotGob3_318arrow_ctg1	103608	fCotGob3_fCotGob3_318arrow_ctg1
fGouWil2_chr2	6924416	fGouWil2_chr2
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr13	22260683	fGouWil2_chr13
fGouWil2_chr14	18400844	fGouWil2_chr14
fGouWil2_chr15	18513505	fGouWil2_chr15
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr19	13491330	fGouWil2_chr19
fGouWil2_chr20	14393881	fGouWil2_chr20
fGouWil2_chr21	19489022	fGouWil2_chr21
fGouWil2_chr24	12975636	fGouWil2_chr24
fMasArm1_chr2	5724603	fMasArm1_chr2
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr11	11470894	fMasArm1_chr11
fMasArm1_chr13	13749128	fMasArm1_chr13
fMasArm1_chr14	12403600	fMasArm1_chr14
fMasArm1_chr15	12037531	fMasArm1_chr15
fMasArm1_chr19	9960384	fMasArm1_chr19
fMasArm1_chr20	10031731	fMasArm1_chr20
fMasArm1_chr21	14366162	fMasArm1_chr21
fMasArm1_chr24	10664311	fMasArm1_chr24
mLynCan4_chrA1	120006330	mLynCan4_chrA1
mLynCan4_chrC2	79463687	mLynCan4_chrC2
mOrnAna1_chr2	85859831	mOrnAna1_chr2
mOrnAna1_chr8	35474907	mOrnAna1_chr8
mOrnAna1_chr9	30930611	mOrnAna1_chr9
mOrnAna1_chr10	29722348	mOrnAna1_chr10
mOrnAna1_chr20	15267767	mOrnAna1_chr20
mOrnAna1_chrX3	16931668	mOrnAna1_chrX3
mPhyDis1_chr2	108682542	mPhyDis1_chr2
mPhyDis1_chr3	107449449	mPhyDis1_chr3
mPhyDis1_chr4	104928251	mPhyDis1_chr4
mPhyDis1_chr7	69623964	mPhyDis1_chr7
mPhyDis1_chr11	47612418	mPhyDis1_chr11
mPhyDis1_chrX	53671095	mPhyDis1_chrX
mRhiFer1_chr4	53103023	mRhiFer1_chr4
mRhiFer1_chr7	50138214	mRhiFer1_chr7
mRhiFer1_chr8	48784736	mRhiFer1_chr8
rGopEvg1_chr1	185167572	rGopEvg1_chr1
rGopEvg1_chr2	149723587	rGopEvg1_chr2
rGopEvg1_chr9	54463965	rGopEvg1_chr9
rGopEvg1_chr11	40578796	rGopEvg1_chr11
sAmbRad1_chr2	75786849	sAmbRad1_chr2
sAmbRad1_chr6	52462704	sAmbRad1_chr6
sAmbRad1_chr7	45511192	sAmbRad1_chr7
sAmbRad1_chr11	33032632	sAmbRad1_chr11
sAmbRad1_chr14	30446330	sAmbRad1_chr14
sAmbRad1_chr38	9745214	sAmbRad1_chr38
