sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	10
9	10
10	10
11	3
12	3
13	3
14	3
15	11
16	11
17	11
18	11
19	4
20	4
21	4
22	4
23	4
24	4
25	4
26	4
27	4
28	4
29	4
30	4
31	4
32	12
33	12
34	12
35	12
36	12
37	12
38	12
39	12
40	12
41	12
42	12
43	12
44	12
45	5
46	5
47	5
48	5
49	5
50	5
51	5
52	5
53	5
54	5
55	5
56	5
57	13
58	13
59	13
60	13
61	13
62	13
63	13
64	13
65	13
66	13
67	13
68	13
69	13
70	13
71	13
72	6
73	6
74	6
75	6
76	6
77	6
78	6
79	6
80	6
81	6
82	6
83	6
84	6
85	14
86	14
87	14
88	14
89	14
90	14
91	14
92	14
93	14
94	14
95	14
96	14
97	14
98	7
99	7
100	15
101	15
102	15
103	15
104	15
105	15
106	15
107	15
108	15
109	8
110	8
111	8
112	8
113	8
114	16
115	16
116	16
117	16
118	9
119	9
120	9
121	17
122	17
123	17
124	17
125	17
126	17
127	17
128	17
129	17
130	17
