chr	locus	value
chr11	67543311	chr11
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr12	43892527	aRhiBiv1_chr12
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
aRhiBiv1_chr15	40496056	aRhiBiv1_chr15
aRhiBiv1_chr17	31968323	aRhiBiv1_chr17
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr5	8322942	bCalAnn1_chr5
bCalAnn1_chr8	15545074	bCalAnn1_chr8
bCalAnn1_chr13	8848057	bCalAnn1_chr13
bCalAnn1_chr15	6943582	bCalAnn1_chr15
bCalAnn1_chr24	3230542	bCalAnn1_chr24
bCalAnn1_chr5A	21940423	bCalAnn1_chr5A
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr4	43230195	bStrHab1_chr4
bStrHab1_chr8	31744467	bStrHab1_chr8
bStrHab1_chr11	19593555	bStrHab1_chr11
bStrHab1_chr17	3720572	bStrHab1_chr17
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr5	31002683	bTaeGut1_chr5
bTaeGut1_chr8	16305014	bTaeGut1_chr8
bTaeGut1_chr15	7163281	bTaeGut1_chr15
bTaeGut1_chr24	3833192	bTaeGut1_chr24
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr13	12956420	fAnaTes1_chr13
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr18	15540457	fAnaTes1_chr18
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr23	7679556	fAnaTes1_chr23
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr2	15730425	fArcCen1_chr2
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr5	18156033	fArcCen1_chr5
