chr	locus	value
chr17	41628720	chr17
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr12	43892527	aRhiBiv1_chr12
aRhiBiv1_chr14	41331154	aRhiBiv1_chr14
bCalAnn1_chr14	7748530	bCalAnn1_chr14
bCalAnn1_chr18	5808860	bCalAnn1_chr18
bCalAnn1_chr19	5583001	bCalAnn1_chr19
bCalAnn1_chr27	2874537	bCalAnn1_chr27
bCalAnn1_scaffold_18_arrow_ctg1	24797	bCalAnn1_scaffold_18_arrow_ctg1
bCalAnn1_scaffold_81_arrow_ctg1	96435	bCalAnn1_scaffold_81_arrow_ctg1
bStrHab1_chr4	43230195	bStrHab1_chr4
bStrHab1_chr14	6442061	bStrHab1_chr14
bStrHab1_chr19	2894614	bStrHab1_chr19
bStrHab1_S16	6112199	bStrHab1_S16
bTaeGut1_chr14	8336733	bTaeGut1_chr14
bTaeGut1_chr15	7163281	bTaeGut1_chr15
bTaeGut1_chr18	5522259	bTaeGut1_chr18
bTaeGut1_chr19	4290453	bTaeGut1_chr19
bTaeGut1_chr27	2713298	bTaeGut1_chr27
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr8	10916276	fAnaTes1_chr8
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr13	12956420	fAnaTes1_chr13
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr8	15189776	fArcCen1_chr8
fArcCen1_chr13	21744641	fArcCen1_chr13
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr19	15507179	fArcCen1_chr19
fAstCal1_chr4	16716539	fAstCal1_chr4
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr8	12913854	fAstCal1_chr8
fAstCal1_chr10	17037060	fAstCal1_chr10
fAstCal1_chr14	19992677	fAstCal1_chr14
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr4	14474522	fCotGob3_chr4
fCotGob3_chr8	11716268	fCotGob3_chr8
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr13	13871458	fCotGob3_chr13
fCotGob3_chr14	12852251	fCotGob3_chr14
fCotGob3_chr19	10530063	fCotGob3_chr19
fCotGob3_fCotGob3_251arrow_ctg1	127430	fCotGob3_fCotGob3_251arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr8	17329174	fGouWil2_chr8
fGouWil2_chr13	22260683	fGouWil2_chr13
fGouWil2_chr14	18400844	fGouWil2_chr14
fGouWil2_chr19	13491330	fGouWil2_chr19
fMasArm1_chr1	13041935	fMasArm1_chr1
fMasArm1_chr4	13906038	fMasArm1_chr4
fMasArm1_chr8	11601063	fMasArm1_chr8
fMasArm1_chr13	13749128	fMasArm1_chr13
fMasArm1_chr14	12403600	fMasArm1_chr14
fMasArm1_chr19	9960384	fMasArm1_chr19
mLynCan4_chrE1	30335076	mLynCan4_chrE1
mOrnAna1_chr2	85859831	mOrnAna1_chr2
mOrnAna1_chr11	31753015	mOrnAna1_chr11
mOrnAna1_chr15	13187509	mOrnAna1_chr15
mOrnAna1_chr17	22768335	mOrnAna1_chr17
mOrnAna1_chr21	12257429	mOrnAna1_chr21
mOrnAna1_scaffold_264_arrow_ctg1	2104181	mOrnAna1_scaffold_264_arrow_ctg1
mPhyDis1_chr8	57428267	mPhyDis1_chr8
mRhiFer1_chr21	27786220	mRhiFer1_chr21
mRhiFer1_chrX	62466689	mRhiFer1_chrX
rGopEvg1_chr10	43246753	rGopEvg1_chr10
rGopEvg1_chr15	15008157	rGopEvg1_chr15
rGopEvg1_chr17	12483137	rGopEvg1_chr17
rGopEvg1_chr23	7887367	rGopEvg1_chr23
sAmbRad1_chr16	26446979	sAmbRad1_chr16
sAmbRad1_chr20	23377017	sAmbRad1_chr20
sAmbRad1_chr22	21894191	sAmbRad1_chr22
sAmbRad1_chr23	21075475	sAmbRad1_chr23
sAmbRad1_chr25	19119878	sAmbRad1_chr25
sAmbRad1_chr26	18718010	sAmbRad1_chr26
sAmbRad1_chr28	18210714	sAmbRad1_chr28
