sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	10
8	10
9	10
10	10
11	10
12	10
13	3
14	3
15	3
16	3
17	11
18	11
19	11
20	11
21	11
22	4
23	4
24	4
25	4
26	4
27	4
28	4
29	12
30	12
31	12
32	12
33	12
34	12
35	5
36	5
37	5
38	5
39	5
40	5
41	13
42	13
43	13
44	13
45	13
46	13
47	13
48	13
49	6
50	6
51	6
52	6
53	6
54	6
55	14
56	14
57	14
58	14
59	14
60	14
61	7
62	15
63	15
64	15
65	15
66	15
67	15
68	8
69	16
70	16
71	9
72	9
73	9
74	9
75	17
76	17
77	17
78	17
79	17
80	17
81	17
