chr	locus	value
chr19	29308808	chr19
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
aRhiBiv1_chr15	40496056	aRhiBiv1_chr15
aRhiBiv1_chr19	22717665	aRhiBiv1_chr19
bCalAnn1_chr9	12843228	bCalAnn1_chr9
bCalAnn1_chr10	11332195	bCalAnn1_chr10
bCalAnn1_chr11	10151174	bCalAnn1_chr11
bCalAnn1_chr14	7748530	bCalAnn1_chr14
bCalAnn1_chr28	2856993	bCalAnn1_chr28
bCalAnn1_scaffold_143_arrow_ctg1	24847	bCalAnn1_scaffold_143_arrow_ctg1
bStrHab1_chr4	43230195	bStrHab1_chr4
bStrHab1_chr8	31744467	bStrHab1_chr8
bStrHab1_chr9	22215744	bStrHab1_chr9
bStrHab1_chr20	2822878	bStrHab1_chr20
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bStrHab1_NW_022045628.1_ctg1	342461	bStrHab1_NW_022045628.1_ctg1
bStrHab1_NW_022045634.1_ctg1	392181	bStrHab1_NW_022045634.1_ctg1
bTaeGut1_chr4	35776459	bTaeGut1_chr4
bTaeGut1_chr9	12787832	bTaeGut1_chr9
bTaeGut1_chr10	11008505	bTaeGut1_chr10
bTaeGut1_chr11	10506177	bTaeGut1_chr11
bTaeGut1_chr14	8336733	bTaeGut1_chr14
bTaeGut1_chr28	3047304	bTaeGut1_chr28
bTaeGut1_chr30	3034075	bTaeGut1_chr30
bTaeGut1_scaffold_322_arrow_ctg1	641797	bTaeGut1_scaffold_322_arrow_ctg1
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr8	10916276	fAnaTes1_chr8
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr13	12956420	fAnaTes1_chr13
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr8	15189776	fArcCen1_chr8
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr13	21744641	fArcCen1_chr13
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr22	14647140	fArcCen1_chr22
fArcCen1_scaffold_32_ctg1	2039908	fArcCen1_scaffold_32_ctg1
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr4	16716539	fAstCal1_chr4
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr14	19992677	fAstCal1_chr14
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr17	19724457	fAstCal1_chr17
fAstCal1_chr18	17926294	fAstCal1_chr18
fAstCal1_chr19	15431565	fAstCal1_chr19
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr4	14474522	fCotGob3_chr4
fCotGob3_chr6	13840172	fCotGob3_chr6
fCotGob3_chr8	11716268	fCotGob3_chr8
fCotGob3_chr12	11451260	fCotGob3_chr12
fCotGob3_chr13	13871458	fCotGob3_chr13
fCotGob3_chr17	12578072	fCotGob3_chr17
fCotGob3_chr22	11304556	fCotGob3_chr22
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr8	17329174	fGouWil2_chr8
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr13	22260683	fGouWil2_chr13
fGouWil2_chr22	17338308	fGouWil2_chr22
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr4	13906038	fMasArm1_chr4
fMasArm1_chr6	12545156	fMasArm1_chr6
fMasArm1_chr8	11601063	fMasArm1_chr8
fMasArm1_chr12	10521815	fMasArm1_chr12
fMasArm1_chr13	13749128	fMasArm1_chr13
fMasArm1_chr17	12474818	fMasArm1_chr17
fMasArm1_chr22	11643006	fMasArm1_chr22
mLynCan4_chrA1	120006330	mLynCan4_chrA1
mLynCan4_chrA2	84494171	mLynCan4_chrA2
mLynCan4_chrE2	30781656	mLynCan4_chrE2
mOrnAna1_chr1	93253008	mOrnAna1_chr1
mOrnAna1_chr2	85859831	mOrnAna1_chr2
mOrnAna1_chr5	55146515	mOrnAna1_chr5
mOrnAna1_chr11	31753015	mOrnAna1_chr11
mOrnAna1_chrX1	62520457	mOrnAna1_chrX1
mOrnAna1_chrX2	14831053	mOrnAna1_chrX2
mOrnAna1_scaffold_93_arrow_ctg1	1055552	mOrnAna1_scaffold_93_arrow_ctg1
mPhyDis1_chr1	109215071	mPhyDis1_chr1
mPhyDis1_chr2	108682542	mPhyDis1_chr2
mPhyDis1_chr3	107449449	mPhyDis1_chr3
mPhyDis1_chr4	104928251	mPhyDis1_chr4
mPhyDis1_chr8	57428267	mPhyDis1_chr8
mPhyDis1_chr12	38979755	mPhyDis1_chr12
mRhiFer1_chr3	52150368	mRhiFer1_chr3
