chr	locus	value
chr10	66898711	chr10
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr16	37390786	aRhiBiv1_chr16
aRhiBiv1_scaffold_132_arrow_ctg1	194816	aRhiBiv1_scaffold_132_arrow_ctg1
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bCalAnn1_chr6	17700979	bCalAnn1_chr6
bCalAnn1_chr20	7558437	bCalAnn1_chr20
bCalAnn1_chrZ	37040502	bCalAnn1_chrZ
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr5	41620323	bStrHab1_chr5
bStrHab1_chr6	38215952	bStrHab1_chr6
bStrHab1_chr13	8238080	bStrHab1_chr13
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr3	56614179	bTaeGut1_chr3
bTaeGut1_chr6	17832517	bTaeGut1_chr6
bTaeGut1_chr20	7839383	bTaeGut1_chr20
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
bTaeGut1_chrZ	37729853	bTaeGut1_chrZ
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr7	12553221	fAnaTes1_chr7
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr15	10960625	fAnaTes1_chr15
fAnaTes1_chr16	12217087	fAnaTes1_chr16
