chr	locus	value
chr9	69197358	chr9
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr6	17700979	bCalAnn1_chr6
bCalAnn1_chr12	10676250	bCalAnn1_chr12
bCalAnn1_chr17	5236827	bCalAnn1_chr17
bCalAnn1_chrZ	37040502	bCalAnn1_chrZ
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr5	41620323	bStrHab1_chr5
bStrHab1_chr11	19593555	bStrHab1_chr11
bStrHab1_chr15	6153989	bStrHab1_chr15
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr6	17832517	bTaeGut1_chr6
bTaeGut1_chr12	10217826	bTaeGut1_chr12
bTaeGut1_chr17	5843601	bTaeGut1_chr17
bTaeGut1_chrZ	37729853	bTaeGut1_chrZ
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr8	10916276	fAnaTes1_chr8
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr18	15540457	fAnaTes1_chr18
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr8	15189776	fArcCen1_chr8
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr10	19941491	fArcCen1_chr10
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_Super_Scaffold_8	11952072	fArcCen1_Super_Scaffold_8
fArcCen1_scaffold_26_ctg1	3831496	fArcCen1_scaffold_26_ctg1
fArcCen1_scaffold_27_ctg1	1240591	fArcCen1_scaffold_27_ctg1
fArcCen1_scaffold_30_ctg1	2198798	fArcCen1_scaffold_30_ctg1
fArcCen1_scaffold_63_ctg1	584559	fArcCen1_scaffold_63_ctg1
fArcCen1_scaffold_68_ctg1	471685	fArcCen1_scaffold_68_ctg1
fAstCal1_chr2	19107848	fAstCal1_chr2
fAstCal1_chr3	26256207	fAstCal1_chr3
fAstCal1_chr4	16716539	fAstCal1_chr4
fAstCal1_chr5	19339139	fAstCal1_chr5
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr11	18338033	fAstCal1_chr11
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr22	17505732	fAstCal1_chr22
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr5	15239719	fCotGob3_chr5
fCotGob3_chr8	11716268	fCotGob3_chr8
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr10	13719134	fCotGob3_chr10
fCotGob3_chr11	11096709	fCotGob3_chr11
fCotGob3_chr12	11451260	fCotGob3_chr12
fCotGob3_chr16	13290699	fCotGob3_chr16
fCotGob3_chr18	7465191	fCotGob3_chr18
fCotGob3_chr19	10530063	fCotGob3_chr19
fCotGob3_fCotGob3_37arrow_ctg1	124868	fCotGob3_fCotGob3_37arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr5	21401395	fGouWil2_chr5
fGouWil2_chr8	17329174	fGouWil2_chr8
fGouWil2_chr9	21574856	fGouWil2_chr9
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr11	16291782	fGouWil2_chr11
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr16	20117201	fGouWil2_chr16
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr18	14239168	fGouWil2_chr18
fGouWil2_chr19	13491330	fGouWil2_chr19
fGouWil2_chr22	17338308	fGouWil2_chr22
fMasArm1_chr1	13041935	fMasArm1_chr1
fMasArm1_chr5	14381481	fMasArm1_chr5
fMasArm1_chr8	11601063	fMasArm1_chr8
fMasArm1_chr9	12911114	fMasArm1_chr9
fMasArm1_chr10	14562035	fMasArm1_chr10
fMasArm1_chr11	11470894	fMasArm1_chr11
fMasArm1_chr12	10521815	fMasArm1_chr12
fMasArm1_chr16	12930792	fMasArm1_chr16
fMasArm1_chr18	9837967	fMasArm1_chr18
fMasArm1_chr19	9960384	fMasArm1_chr19
mLynCan4_chrA2	84494171	mLynCan4_chrA2
mLynCan4_chrD4	46722854	mLynCan4_chrD4
mOrnAna1_chr3	70993541	mOrnAna1_chr3
mOrnAna1_chr4	68047194	mOrnAna1_chr4
mOrnAna1_chrX1	62520457	mOrnAna1_chrX1
mOrnAna1_chrX2	14831053	mOrnAna1_chrX2
mOrnAna1_chrX3	16931668	mOrnAna1_chrX3
mOrnAna1_chrX4	4319728	mOrnAna1_chrX4
mOrnAna1_chrX5	35069660	mOrnAna1_chrX5
mOrnAna1_chrY3	1233856	mOrnAna1_chrY3
mPhyDis1_chr2	108682542	mPhyDis1_chr2
mPhyDis1_chr3	107449449	mPhyDis1_chr3
mRhiFer1_chr12	41978070	mRhiFer1_chr12
rGopEvg1_chr2	149723587	rGopEvg1_chr2
rGopEvg1_chr6	68898876	rGopEvg1_chr6
rGopEvg1_chr7	65805985	rGopEvg1_chr7
rGopEvg1_chr16	13377670	rGopEvg1_chr16
sAmbRad1_chr1	96584152	sAmbRad1_chr1
sAmbRad1_chr2	75786849	sAmbRad1_chr2
sAmbRad1_chr3	65657566	sAmbRad1_chr3
sAmbRad1_chr18	24875344	sAmbRad1_chr18
sAmbRad1_chr19	23845658	sAmbRad1_chr19
sAmbRad1_chr30	16668339	sAmbRad1_chr30
sAmbRad1_chr32	15597953	sAmbRad1_chr32
