chr	locus	value
chr5	90769129	chr5
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr16	37390786	aRhiBiv1_chr16
aRhiBiv1_chr18	30676873	aRhiBiv1_chr18
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bCalAnn1_chr13	8848057	bCalAnn1_chr13
bCalAnn1_chrZ	37040502	bCalAnn1_chrZ
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr10	21882236	bStrHab1_chr10
bStrHab1_chr12	13716746	bStrHab1_chr12
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr3	56614179	bTaeGut1_chr3
bTaeGut1_chr13	9140741	bTaeGut1_chr13
bTaeGut1_chrZ	37729853	bTaeGut1_chrZ
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr23	7679556	fAnaTes1_chr23
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr10	19941491	fArcCen1_chr10
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_chr20	16555437	fArcCen1_chr20
fArcCen1_chr23	12310491	fArcCen1_chr23
fArcCen1_scaffold_26_ctg1	3831496	fArcCen1_scaffold_26_ctg1
fArcCen1_scaffold_30_ctg1	2198798	fArcCen1_scaffold_30_ctg1
fArcCen1_scaffold_68_ctg1	471685	fArcCen1_scaffold_68_ctg1
fAstCal1_chr2	19107848	fAstCal1_chr2
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr8	12913854	fAstCal1_chr8
fAstCal1_chr9	17956569	fAstCal1_chr9
fAstCal1_chr10	17037060	fAstCal1_chr10
fAstCal1_chr11	18338033	fAstCal1_chr11
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr13	16572975	fAstCal1_chr13
fAstCal1_chr17	19724457	fAstCal1_chr17
fAstCal1_chr18	17926294	fAstCal1_chr18
fAstCal1_chr22	17505732	fAstCal1_chr22
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr10	13719134	fCotGob3_chr10
fCotGob3_chr11	11096709	fCotGob3_chr11
fCotGob3_chr12	11451260	fCotGob3_chr12
fCotGob3_chr14	12852251	fCotGob3_chr14
fCotGob3_chr15	12481605	fCotGob3_chr15
fCotGob3_chr16	13290699	fCotGob3_chr16
fCotGob3_chr17	12578072	fCotGob3_chr17
fCotGob3_chr19	10530063	fCotGob3_chr19
fCotGob3_chr20	8799899	fCotGob3_chr20
fCotGob3_chr23	7966181	fCotGob3_chr23
fCotGob3_fCotGob3_339arrow_ctg1	64270	fCotGob3_fCotGob3_339arrow_ctg1
fCotGob3_fCotGob3_402arrow_ctg1	64952	fCotGob3_fCotGob3_402arrow_ctg1
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr9	21574856	fGouWil2_chr9
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr11	16291782	fGouWil2_chr11
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr14	18400844	fGouWil2_chr14
fGouWil2_chr16	20117201	fGouWil2_chr16
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr19	13491330	fGouWil2_chr19
fGouWil2_chr20	14393881	fGouWil2_chr20
fMasArm1_chr9	12911114	fMasArm1_chr9
fMasArm1_chr10	14562035	fMasArm1_chr10
fMasArm1_chr11	11470894	fMasArm1_chr11
fMasArm1_chr12	10521815	fMasArm1_chr12
fMasArm1_chr14	12403600	fMasArm1_chr14
fMasArm1_chr16	12930792	fMasArm1_chr16
fMasArm1_chr17	12474818	fMasArm1_chr17
fMasArm1_chr19	9960384	fMasArm1_chr19
fMasArm1_chr20	10031731	fMasArm1_chr20
fMasArm1_chr23	8226894	fMasArm1_chr23
fMasArm1_Contig124arrow_ctg1	182120	fMasArm1_Contig124arrow_ctg1
fMasArm1_Super_Scaffold_29_ctg1	839678	fMasArm1_Super_Scaffold_29_ctg1
mLynCan4_chrA1	120006330	mLynCan4_chrA1
mLynCan4_chrA3	69915584	mLynCan4_chrA3
mOrnAna1_chr1	93253008	mOrnAna1_chr1
mOrnAna1_chr3	70993541	mOrnAna1_chr3
mOrnAna1_chr9	30930611	mOrnAna1_chr9
mOrnAna1_chr10	29722348	mOrnAna1_chr10
mOrnAna1_chrX1	62520457	mOrnAna1_chrX1
mOrnAna1_chrX2	14831053	mOrnAna1_chrX2
mOrnAna1_chrX3	16931668	mOrnAna1_chrX3
mOrnAna1_chrX5	35069660	mOrnAna1_chrX5
mOrnAna1_scaffold_581_arrow_ctg1	21693	mOrnAna1_scaffold_581_arrow_ctg1
mPhyDis1_chr3	107449449	mPhyDis1_chr3
mPhyDis1_chr6	85871431	mPhyDis1_chr6
mPhyDis1_chr13	38519993	mPhyDis1_chr13
mRhiFer1_chr7	50138214	mRhiFer1_chr7
mRhiFer1_chr11	44559714	mRhiFer1_chr11
mRhiFer1_chr13	35704782	mRhiFer1_chr13
mRhiFer1_chr24	22408737	mRhiFer1_chr24
rGopEvg1_chr2	149723587	rGopEvg1_chr2
rGopEvg1_chr3	112571524	rGopEvg1_chr3
rGopEvg1_chr6	68898876	rGopEvg1_chr6
rGopEvg1_chr8	56986431	rGopEvg1_chr8
sAmbRad1_chr1	96584152	sAmbRad1_chr1
sAmbRad1_chr2	75786849	sAmbRad1_chr2
sAmbRad1_chr3	65657566	sAmbRad1_chr3
sAmbRad1_chr8	41817143	sAmbRad1_chr8
sAmbRad1_chr11	33032632	sAmbRad1_chr11
sAmbRad1_scaffold_518_ctg1	54100	sAmbRad1_scaffold_518_ctg1
