sID	color
1	1
2	2
3	2
4	2
5	2
6	10
7	10
8	3
9	3
10	3
11	11
12	11
13	11
14	11
15	4
16	4
17	4
18	4
19	4
20	4
21	4
22	4
23	4
24	12
25	12
26	12
27	12
28	12
29	12
30	12
31	12
32	12
33	12
34	12
35	5
36	5
37	5
38	5
39	5
40	5
41	5
42	5
43	13
44	13
45	13
46	13
47	13
48	13
49	13
50	13
51	13
52	13
53	13
54	6
55	6
56	6
57	6
58	6
59	6
60	6
61	6
62	6
63	6
64	14
65	14
66	14
67	14
68	14
69	14
70	14
71	14
72	7
73	7
74	15
75	15
76	15
77	15
78	15
79	8
80	8
81	16
82	16
83	9
84	9
85	9
86	9
87	17
88	17
89	17
90	17
91	17
92	17
