chr	locus	value
chr12	66637654	chr12
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr12	43892527	aRhiBiv1_chr12
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
aRhiBiv1_chr16	37390786	aRhiBiv1_chr16
aRhiBiv1_chr17	31968323	aRhiBiv1_chr17
aRhiBiv1_chr19	22717665	aRhiBiv1_chr19
aRhiBiv1_scaffold_265_arrow_ctg1	85780	aRhiBiv1_scaffold_265_arrow_ctg1
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr11	10151174	bCalAnn1_chr11
bCalAnn1_chr15	6943582	bCalAnn1_chr15
bCalAnn1_chr23	3211951	bCalAnn1_chr23
bCalAnn1_chr33	944070	bCalAnn1_chr33
bCalAnn1_chr5A	21940423	bCalAnn1_chr5A
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr4	43230195	bStrHab1_chr4
bStrHab1_chr11	19593555	bStrHab1_chr11
bStrHab1_chr12	13716746	bStrHab1_chr12
bStrHab1_chr23	1392641	bStrHab1_chr23
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr5	31002683	bTaeGut1_chr5
bTaeGut1_chr11	10506177	bTaeGut1_chr11
bTaeGut1_chr15	7163281	bTaeGut1_chr15
bTaeGut1_chr23	3414961	bTaeGut1_chr23
bTaeGut1_chr29	2105131	bTaeGut1_chr29
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr7	12553221	fAnaTes1_chr7
fAnaTes1_chr8	10916276	fAnaTes1_chr8
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr18	15540457	fAnaTes1_chr18
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr23	7679556	fAnaTes1_chr23
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr7	18908629	fArcCen1_chr7
fArcCen1_chr8	15189776	fArcCen1_chr8
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr10	19941491	fArcCen1_chr10
