chr	locus	value
chr12	66637654	chr12
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr12	43892527	aRhiBiv1_chr12
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
aRhiBiv1_chr16	37390786	aRhiBiv1_chr16
aRhiBiv1_chr17	31968323	aRhiBiv1_chr17
aRhiBiv1_chr19	22717665	aRhiBiv1_chr19
aRhiBiv1_scaffold_265_arrow_ctg1	85780	aRhiBiv1_scaffold_265_arrow_ctg1
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr15	6943582	bCalAnn1_chr15
bCalAnn1_chr33	944070	bCalAnn1_chr33
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr11	19593555	bStrHab1_chr11
bStrHab1_chr23	1392641	bStrHab1_chr23
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr15	7163281	bTaeGut1_chr15
bTaeGut1_chr29	2105131	bTaeGut1_chr29
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr7	12553221	fAnaTes1_chr7
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr23	7679556	fAnaTes1_chr23
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr7	18908629	fArcCen1_chr7
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr10	19941491	fArcCen1_chr10
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr23	12310491	fArcCen1_chr23
fArcCen1_scaffold_52_ctg1	879152	fArcCen1_scaffold_52_ctg1
fAstCal1_chr2	19107848	fAstCal1_chr2
fAstCal1_chr5	19339139	fAstCal1_chr5
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr11	18338033	fAstCal1_chr11
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr17	19724457	fAstCal1_chr17
fAstCal1_chr20	15733877	fAstCal1_chr20
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr5	15239719	fCotGob3_chr5
fCotGob3_chr6	13840172	fCotGob3_chr6
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr10	13719134	fCotGob3_chr10
fCotGob3_chr12	11451260	fCotGob3_chr12
