chr	locus	value
chr3	99147779	chr3
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr12	43892527	aRhiBiv1_chr12
aRhiBiv1_chr14	41331154	aRhiBiv1_chr14
aRhiBiv1_chr15	40496056	aRhiBiv1_chr15
aRhiBiv1_scaffold_304_arrow_ctg1	77139	aRhiBiv1_scaffold_304_arrow_ctg1
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bCalAnn1_chr7	19569607	bCalAnn1_chr7
bCalAnn1_chr9	12843228	bCalAnn1_chr9
bCalAnn1_chr10	11332195	bCalAnn1_chr10
bCalAnn1_chr12	10676250	bCalAnn1_chr12
bCalAnn1_chr14	7748530	bCalAnn1_chr14
bCalAnn1_chr26	3153366	bCalAnn1_chr26
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr4	43230195	bStrHab1_chr4
bStrHab1_chr5	41620323	bStrHab1_chr5
bStrHab1_chr6	38215952	bStrHab1_chr6
bStrHab1_chr8	31744467	bStrHab1_chr8
bStrHab1_chr11	19593555	bStrHab1_chr11
bStrHab1_chr18	3367274	bStrHab1_chr18
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr3	56614179	bTaeGut1_chr3
bTaeGut1_chr7	19030007	bTaeGut1_chr7
bTaeGut1_chr9	12787832	bTaeGut1_chr9
bTaeGut1_chr12	10217826	bTaeGut1_chr12
bTaeGut1_chr14	8336733	bTaeGut1_chr14
bTaeGut1_chr26	3429594	bTaeGut1_chr26
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
bTaeGut1_scaffold_289_arrow_ctg1	839314	bTaeGut1_scaffold_289_arrow_ctg1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr7	12553221	fAnaTes1_chr7
