sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	10
20	3
21	3
22	3
23	3
24	3
25	3
26	3
27	11
28	11
29	11
30	11
31	11
32	11
33	11
34	11
35	4
36	4
37	4
38	4
39	4
40	4
41	4
42	4
43	4
44	4
45	12
46	12
47	12
48	12
49	12
50	12
51	12
52	12
53	12
54	12
55	12
56	12
57	5
58	5
59	5
60	5
61	5
62	5
63	5
64	5
65	13
66	13
67	13
68	13
69	13
70	13
71	13
72	13
73	13
74	6
75	6
76	6
77	6
78	6
79	6
80	6
81	6
82	6
83	6
84	6
85	6
86	14
87	14
88	14
89	14
90	14
91	14
92	14
93	14
94	14
95	14
96	7
97	7
98	7
99	7
100	7
101	15
102	15
103	15
104	15
105	15
106	15
107	15
108	15
109	15
110	15
111	8
112	8
113	8
114	8
115	8
116	16
117	16
118	16
119	16
120	16
121	16
122	16
123	9
124	9
125	9
126	9
127	9
128	9
129	17
130	17
131	17
132	17
133	17
134	17
135	17
136	17
137	17
138	17
139	17
140	17
141	17
