sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	10
20	3
21	3
22	3
23	3
24	3
25	3
26	3
27	3
28	11
29	11
30	11
31	11
32	11
33	11
34	11
35	11
36	11
37	11
38	11
39	4
40	4
41	4
42	4
43	4
44	4
45	4
46	4
47	4
48	4
49	4
50	4
51	4
52	12
53	12
54	12
55	12
56	12
57	12
58	12
59	12
60	12
61	12
62	12
63	12
64	5
65	5
66	5
67	5
68	5
69	5
70	5
71	5
72	5
73	5
74	5
75	5
76	13
77	13
78	13
79	13
80	13
81	13
82	13
83	13
84	13
85	13
86	13
87	13
88	13
89	13
90	6
91	6
92	6
93	6
94	6
95	6
96	6
97	6
98	6
99	6
100	6
101	6
102	14
103	14
104	14
105	14
106	14
107	14
108	14
109	14
110	14
111	14
112	14
113	14
114	7
115	7
116	7
117	15
118	15
119	15
120	15
121	15
122	15
123	15
124	15
125	15
126	15
127	8
128	8
129	8
130	16
131	16
132	16
133	16
134	16
135	16
136	9
137	9
138	9
139	9
140	9
141	9
142	9
143	17
144	17
145	17
146	17
147	17
148	17
149	17
150	17
151	17
152	17
153	17
