sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	3
18	3
19	3
20	3
21	3
22	3
23	3
24	3
25	11
26	11
27	11
28	11
29	11
30	11
31	11
32	11
33	4
34	4
35	4
36	4
37	4
38	4
39	4
40	4
41	4
42	4
43	4
44	4
45	4
46	4
47	4
48	4
49	12
50	12
51	12
52	12
53	12
54	12
55	12
56	12
57	12
58	12
59	12
60	12
61	12
62	12
63	12
64	12
65	12
66	12
67	12
68	12
69	5
70	5
71	5
72	5
73	5
74	5
75	5
76	5
77	5
78	5
79	5
80	5
81	5
82	5
83	5
84	13
85	13
86	13
87	13
88	13
89	13
90	13
91	13
92	13
93	13
94	13
95	13
96	13
97	13
98	13
99	13
100	6
101	6
102	6
103	6
104	6
105	6
106	6
107	6
108	6
109	6
110	6
111	6
112	6
113	6
114	6
115	6
116	6
117	6
118	14
119	14
120	14
121	14
122	14
123	14
124	14
125	14
126	14
127	14
128	14
129	14
130	14
131	14
132	14
133	7
134	7
135	7
136	7
137	15
138	15
139	15
140	15
141	15
142	15
143	15
144	15
145	15
146	8
147	8
148	8
149	8
150	8
151	16
152	16
153	16
154	16
155	16
156	16
157	16
158	9
159	9
160	9
161	9
162	9
163	9
164	9
165	17
166	17
167	17
168	17
169	17
170	17
171	17
172	17
173	17
174	17
175	17
176	17
177	17
