sID	color
1	1
2	2
3	2
4	2
5	2
6	10
7	10
8	10
9	10
10	3
11	3
12	3
13	11
14	11
15	11
16	11
17	4
18	4
19	4
20	4
21	4
22	4
23	4
24	4
25	4
26	4
27	12
28	12
29	12
30	12
31	12
32	12
33	12
34	12
35	12
36	12
37	5
38	5
39	5
40	5
41	5
42	5
43	5
44	5
45	5
46	5
47	13
48	13
49	13
50	13
51	13
52	13
53	13
54	13
55	13
56	13
57	13
58	6
59	6
60	6
61	6
62	6
63	6
64	6
65	6
66	6
67	6
68	14
69	14
70	14
71	14
72	14
73	14
74	14
75	14
76	14
77	14
78	7
79	7
80	15
81	15
82	15
83	15
84	15
85	15
86	8
87	8
88	8
89	8
90	8
91	8
92	16
93	16
94	16
95	9
96	9
97	9
98	9
99	17
100	17
101	17
102	17
103	17
104	17
