chr	locus	value
chr2	121096764	chr2
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bCalAnn1_chr4	9298558	bCalAnn1_chr4
bCalAnn1_chr7	19569607	bCalAnn1_chr7
bCalAnn1_chr9	12843228	bCalAnn1_chr9
bCalAnn1_chr10	11332195	bCalAnn1_chr10
bCalAnn1_chr4B	11645972	bCalAnn1_chr4B
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr5	41620323	bStrHab1_chr5
bStrHab1_chr6	38215952	bStrHab1_chr6
bStrHab1_chr7	35065617	bStrHab1_chr7
bStrHab1_chr8	31744467	bStrHab1_chr8
bStrHab1_chr9	22215744	bStrHab1_chr9
bStrHab1_chr10	21882236	bStrHab1_chr10
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr3	56614179	bTaeGut1_chr3
bTaeGut1_chr4	35776459	bTaeGut1_chr4
bTaeGut1_chr7	19030007	bTaeGut1_chr7
bTaeGut1_chr9	12787832	bTaeGut1_chr9
bTaeGut1_chr10	11008505	bTaeGut1_chr10
bTaeGut1_chr4A	9912156	bTaeGut1_chr4A
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr13	12956420	fAnaTes1_chr13
fAnaTes1_chr15	10960625	fAnaTes1_chr15
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr21	12248170	fAnaTes1_chr21
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr24	9966734	fAnaTes1_chr24
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr2	15730425	fArcCen1_chr2
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr7	18908629	fArcCen1_chr7
fArcCen1_chr10	19941491	fArcCen1_chr10
fArcCen1_chr13	21744641	fArcCen1_chr13
fArcCen1_chr15	15211719	fArcCen1_chr15
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_chr21	17795000	fArcCen1_chr21
fArcCen1_chr22	14647140	fArcCen1_chr22
fArcCen1_chr24	17998600	fArcCen1_chr24
fArcCen1_scaffold_36_ctg1	1822865	fArcCen1_scaffold_36_ctg1
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr2	19107848	fAstCal1_chr2
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr8	12913854	fAstCal1_chr8
fAstCal1_chr13	16572975	fAstCal1_chr13
fAstCal1_chr14	19992677	fAstCal1_chr14
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr16	17900926	fAstCal1_chr16
fAstCal1_chr18	17926294	fAstCal1_chr18
fAstCal1_chr19	15431565	fAstCal1_chr19
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr2	6461564	fCotGob3_chr2
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr4	14474522	fCotGob3_chr4
fCotGob3_chr6	13840172	fCotGob3_chr6
fCotGob3_chr10	13719134	fCotGob3_chr10
fCotGob3_chr13	13871458	fCotGob3_chr13
fCotGob3_chr15	12481605	fCotGob3_chr15
fCotGob3_chr17	12578072	fCotGob3_chr17
fCotGob3_chr19	10530063	fCotGob3_chr19
fCotGob3_chr21	12052396	fCotGob3_chr21
fCotGob3_chr22	11304556	fCotGob3_chr22
fCotGob3_chr24	11220910	fCotGob3_chr24
fCotGob3_fCotGob3_189arrow_ctg1	251838	fCotGob3_fCotGob3_189arrow_ctg1
fCotGob3_fCotGob3_361arrow_ctg1	45142	fCotGob3_fCotGob3_361arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr2	6924416	fGouWil2_chr2
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr13	22260683	fGouWil2_chr13
fGouWil2_chr15	18513505	fGouWil2_chr15
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr19	13491330	fGouWil2_chr19
fGouWil2_chr21	19489022	fGouWil2_chr21
fGouWil2_chr22	17338308	fGouWil2_chr22
fGouWil2_chr24	12975636	fGouWil2_chr24
fGouWil2_scaffold_265_arrow_ctg1	14645	fGouWil2_scaffold_265_arrow_ctg1
fGouWil2_scaffold_320_arrow_ctg1	2366395	fGouWil2_scaffold_320_arrow_ctg1
fGouWil2_scaffold_55_arrow_ctg1	794476	fGouWil2_scaffold_55_arrow_ctg1
fMasArm1_chr1	13041935	fMasArm1_chr1
