sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	10
16	10
17	10
18	10
19	10
20	10
21	3
22	3
23	3
24	3
25	3
26	3
27	11
28	11
29	11
30	11
31	11
32	11
33	11
34	4
35	4
36	4
37	4
38	4
39	4
40	4
41	4
42	4
43	4
44	4
45	4
46	4
47	4
48	4
49	4
50	12
51	12
52	12
53	12
54	12
55	12
56	12
57	12
58	12
59	12
60	12
61	12
62	12
63	12
64	12
65	12
66	5
67	5
68	5
69	5
70	5
71	5
72	5
73	5
74	5
75	5
76	5
77	5
78	5
79	5
80	13
81	13
82	13
83	13
84	13
85	13
86	13
87	13
88	13
89	13
90	13
91	13
92	13
93	13
94	13
95	13
96	13
97	13
98	13
99	13
100	6
101	6
102	6
103	6
104	6
105	6
106	6
107	6
108	6
109	6
110	6
111	6
112	6
113	6
114	6
115	6
116	14
117	14
118	14
119	14
120	14
121	14
122	14
123	14
124	14
125	14
126	14
127	14
128	14
129	14
130	14
131	14
132	7
133	7
134	7
135	7
136	7
137	7
138	15
139	15
140	15
141	15
142	15
143	15
144	15
145	15
146	8
147	8
148	8
149	8
150	8
151	8
152	16
153	16
154	16
155	16
156	16
157	16
158	16
159	9
160	9
161	9
162	9
163	9
164	9
165	9
166	17
167	17
168	17
169	17
170	17
171	17
172	17
173	17
174	17
175	17
176	17
177	17
