sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	10
8	10
9	10
10	10
11	10
12	10
13	3
14	3
15	3
16	3
17	3
18	3
19	11
20	11
21	11
22	11
23	11
24	4
25	4
26	4
27	4
28	4
29	4
30	4
31	4
32	4
33	4
34	4
35	4
36	12
37	12
38	12
39	12
40	12
41	12
42	12
43	12
44	12
45	12
46	12
47	12
48	12
49	12
50	12
51	12
52	5
53	5
54	5
55	5
56	5
57	5
58	5
59	5
60	5
61	5
62	5
63	5
64	13
65	13
66	13
67	13
68	13
69	13
70	13
71	13
72	13
73	13
74	13
75	13
76	13
77	6
78	6
79	6
80	6
81	6
82	6
83	6
84	6
85	6
86	6
87	6
88	6
89	6
90	14
91	14
92	14
93	14
94	14
95	14
96	14
97	14
98	14
99	14
100	14
101	14
102	7
103	7
104	7
105	15
106	15
107	15
108	15
109	15
110	15
111	15
112	8
113	8
114	8
115	8
116	16
117	16
118	16
119	16
120	16
121	9
122	9
123	9
124	9
125	17
126	17
127	17
128	17
129	17
130	17
131	17
132	17
