chr	locus	value
chr8	72569318	chr8
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bCalAnn1_chr10	11332195	bCalAnn1_chr10
bCalAnn1_chr22	2599067	bCalAnn1_chr22
bCalAnn1_chr4A	22372672	bCalAnn1_chr4A
bCalAnn1_chrZ	37040502	bCalAnn1_chrZ
bCalAnn1_scaffold_162_arrow_ctg1	19141	bCalAnn1_scaffold_162_arrow_ctg1
bCalAnn1_scaffold_25_arrow_ctg1	36098	bCalAnn1_scaffold_25_arrow_ctg1
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr6	38215952	bStrHab1_chr6
bStrHab1_chr7	35065617	bStrHab1_chr7
bStrHab1_chr9	22215744	bStrHab1_chr9
bStrHab1_chr21	2746324	bStrHab1_chr21
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr3	56614179	bTaeGut1_chr3
bTaeGut1_chr4	35776459	bTaeGut1_chr4
bTaeGut1_chr10	11008505	bTaeGut1_chr10
bTaeGut1_chr22	2748644	bTaeGut1_chr22
bTaeGut1_chrZ	37729853	bTaeGut1_chrZ
bTaeGut1_scaffold_163_arrow_ctg1	27267	bTaeGut1_scaffold_163_arrow_ctg1
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr7	12553221	fAnaTes1_chr7
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr18	15540457	fAnaTes1_chr18
fAnaTes1_chr21	12248170	fAnaTes1_chr21
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr23	7679556	fAnaTes1_chr23
fAnaTes1_chr24	9966734	fAnaTes1_chr24
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr7	18908629	fArcCen1_chr7
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr10	19941491	fArcCen1_chr10
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr20	16555437	fArcCen1_chr20
fArcCen1_chr21	17795000	fArcCen1_chr21
fArcCen1_chr23	12310491	fArcCen1_chr23
fArcCen1_chr24	17998600	fArcCen1_chr24
fArcCen1_Super_Scaffold_8	11952072	fArcCen1_Super_Scaffold_8
fArcCen1_scaffold_26_ctg1	3831496	fArcCen1_scaffold_26_ctg1
fArcCen1_scaffold_30_ctg1	2198798	fArcCen1_scaffold_30_ctg1
fArcCen1_scaffold_37_ctg1	1814926	fArcCen1_scaffold_37_ctg1
fArcCen1_scaffold_54_ctg1	1042622	fArcCen1_scaffold_54_ctg1
fArcCen1_scaffold_95_ctg1	176276	fArcCen1_scaffold_95_ctg1
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr2	19107848	fAstCal1_chr2
fAstCal1_chr3	26256207	fAstCal1_chr3
fAstCal1_chr5	19339139	fAstCal1_chr5
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr9	17956569	fAstCal1_chr9
fAstCal1_chr11	18338033	fAstCal1_chr11
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr16	17900926	fAstCal1_chr16
fAstCal1_chr17	19724457	fAstCal1_chr17
fAstCal1_chr18	17926294	fAstCal1_chr18
fAstCal1_chr20	15733877	fAstCal1_chr20
fAstCal1_chr22	17505732	fAstCal1_chr22
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr5	15239719	fCotGob3_chr5
fCotGob3_chr7	11534840	fCotGob3_chr7
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr10	13719134	fCotGob3_chr10
fCotGob3_chr11	11096709	fCotGob3_chr11
fCotGob3_chr12	11451260	fCotGob3_chr12
fCotGob3_chr16	13290699	fCotGob3_chr16
fCotGob3_chr17	12578072	fCotGob3_chr17
fCotGob3_chr20	8799899	fCotGob3_chr20
fCotGob3_chr21	12052396	fCotGob3_chr21
fCotGob3_chr22	11304556	fCotGob3_chr22
fCotGob3_chr23	7966181	fCotGob3_chr23
fCotGob3_chr24	11220910	fCotGob3_chr24
fCotGob3_fCotGob3_244arrow_ctg1	80200	fCotGob3_fCotGob3_244arrow_ctg1
fCotGob3_fCotGob3_363arrow_ctg1	83672	fCotGob3_fCotGob3_363arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr5	21401395	fGouWil2_chr5
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr7	20272378	fGouWil2_chr7
fGouWil2_chr9	21574856	fGouWil2_chr9
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr11	16291782	fGouWil2_chr11
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr16	20117201	fGouWil2_chr16
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr18	14239168	fGouWil2_chr18
fGouWil2_chr20	14393881	fGouWil2_chr20
fGouWil2_chr21	19489022	fGouWil2_chr21
