chr	locus	value
chr19	29308808	chr19
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr15	40496056	aRhiBiv1_chr15
bCalAnn1_chr11	10151174	bCalAnn1_chr11
bCalAnn1_chr28	2856993	bCalAnn1_chr28
bStrHab1_chr20	2822878	bStrHab1_chr20
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bTaeGut1_chr11	10506177	bTaeGut1_chr11
bTaeGut1_chr28	3047304	bTaeGut1_chr28
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_scaffold_32_ctg1	2039908	fArcCen1_scaffold_32_ctg1
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr4	14474522	fCotGob3_chr4
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr4	21900578	fGouWil2_chr4
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr4	13906038	fMasArm1_chr4
mLynCan4_chrA2	84494171	mLynCan4_chrA2
mLynCan4_chrE2	30781656	mLynCan4_chrE2
mOrnAna1_chr11	31753015	mOrnAna1_chr11
mOrnAna1_chrX1	62520457	mOrnAna1_chrX1
mOrnAna1_chrX2	14831053	mOrnAna1_chrX2
mPhyDis1_chr3	107449449	mPhyDis1_chr3
mPhyDis1_chr8	57428267	mPhyDis1_chr8
mPhyDis1_chr12	38979755	mPhyDis1_chr12
mRhiFer1_chr15	25527915	mRhiFer1_chr15
mRhiFer1_chr18	31311502	mRhiFer1_chr18
rGopEvg1_chr12	22145997	rGopEvg1_chr12
rGopEvg1_chr22	8636045	rGopEvg1_chr22
sAmbRad1_chr17	25485429	sAmbRad1_chr17
sAmbRad1_chr29	17330706	sAmbRad1_chr29
