sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	10
10	10
11	10
12	10
13	10
14	3
15	3
16	3
17	3
18	3
19	3
20	11
21	11
22	11
23	11
24	11
25	11
26	4
27	4
28	4
29	4
30	4
31	4
32	4
33	4
34	4
35	4
36	4
37	4
38	4
39	12
40	12
41	12
42	12
43	12
44	12
45	12
46	12
47	12
48	12
49	12
50	12
51	12
52	12
53	12
54	5
55	5
56	5
57	5
58	5
59	5
60	5
61	5
62	5
63	5
64	5
65	5
66	5
67	13
68	13
69	13
70	13
71	13
72	13
73	13
74	13
75	13
76	13
77	13
78	13
79	13
80	13
81	6
82	6
83	6
84	6
85	6
86	6
87	6
88	6
89	6
90	6
91	6
92	6
93	6
94	6
95	6
96	14
97	14
98	14
99	14
100	14
101	14
102	14
103	14
104	14
105	14
106	14
107	14
108	14
109	14
110	7
111	7
112	7
113	7
114	15
115	15
116	15
117	15
118	15
119	15
120	15
121	8
122	8
123	8
124	16
125	16
126	16
127	16
128	9
129	9
130	9
131	9
132	9
133	9
134	9
135	17
136	17
137	17
138	17
139	17
140	17
141	17
142	17
143	17
