chr	locus	value
chr21	23354991	chr21
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr15	40496056	aRhiBiv1_chr15
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr6	38215952	bStrHab1_chr6
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr3	56614179	bTaeGut1_chr3
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr13	12956420	fAnaTes1_chr13
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr21	12248170	fAnaTes1_chr21
fArcCen1_chr2	15730425	fArcCen1_chr2
fArcCen1_chr13	21744641	fArcCen1_chr13
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr21	17795000	fArcCen1_chr21
fArcCen1_chr22	14647140	fArcCen1_chr22
fArcCen1_scaffold_36_ctg1	1822865	fArcCen1_scaffold_36_ctg1
fAstCal1_chr10	17037060	fAstCal1_chr10
fAstCal1_chr11	18338033	fAstCal1_chr11
fAstCal1_chr14	19992677	fAstCal1_chr14
fAstCal1_chr16	17900926	fAstCal1_chr16
fAstCal1_chr19	15431565	fAstCal1_chr19
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr2	6461564	fCotGob3_chr2
fCotGob3_chr13	13871458	fCotGob3_chr13
fCotGob3_chr14	12852251	fCotGob3_chr14
fCotGob3_chr16	13290699	fCotGob3_chr16
fCotGob3_chr21	12052396	fCotGob3_chr21
fCotGob3_chr22	11304556	fCotGob3_chr22
fGouWil2_chr2	6924416	fGouWil2_chr2
fGouWil2_chr13	22260683	fGouWil2_chr13
fGouWil2_chr14	18400844	fGouWil2_chr14
fGouWil2_chr16	20117201	fGouWil2_chr16
fGouWil2_chr21	19489022	fGouWil2_chr21
fGouWil2_chr22	17338308	fGouWil2_chr22
fMasArm1_chr2	5724603	fMasArm1_chr2
fMasArm1_chr13	13749128	fMasArm1_chr13
fMasArm1_chr14	12403600	fMasArm1_chr14
fMasArm1_chr16	12930792	fMasArm1_chr16
fMasArm1_chr21	14366162	fMasArm1_chr21
fMasArm1_chr22	11643006	fMasArm1_chr22
mLynCan4_chrB2	76376592	mLynCan4_chrB2
mLynCan4_chrC2	79463687	mLynCan4_chrC2
mOrnAna1_chr17	22768335	mOrnAna1_chr17
mOrnAna1_chr18	22342250	mOrnAna1_chr18
mOrnAna1_chr19	17560270	mOrnAna1_chr19
mPhyDis1_chr2	108682542	mPhyDis1_chr2
mPhyDis1_chr4	104928251	mPhyDis1_chr4
mRhiFer1_chr2	54630944	mRhiFer1_chr2
mRhiFer1_chr3	52150368	mRhiFer1_chr3
rGopEvg1_chr1	185167572	rGopEvg1_chr1
rGopEvg1_chr3	112571524	rGopEvg1_chr3
sAmbRad1_chr5	57817621	sAmbRad1_chr5
sAmbRad1_chr14	30446330	sAmbRad1_chr14
