chr	locus	value
chr5	90769129	chr5
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr10	64145729	aRhiBiv1_chr10
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr16	37390786	aRhiBiv1_chr16
aRhiBiv1_chr18	30676873	aRhiBiv1_chr18
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bCalAnn1_chr6	17700979	bCalAnn1_chr6
bCalAnn1_chr11	10151174	bCalAnn1_chr11
bCalAnn1_chr13	8848057	bCalAnn1_chr13
bCalAnn1_chrW	13224388	bCalAnn1_chrW
bCalAnn1_chrZ	37040502	bCalAnn1_chrZ
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr5	41620323	bStrHab1_chr5
bStrHab1_chr6	38215952	bStrHab1_chr6
bStrHab1_chr10	21882236	bStrHab1_chr10
bStrHab1_chr12	13716746	bStrHab1_chr12
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr3	56614179	bTaeGut1_chr3
bTaeGut1_chr6	17832517	bTaeGut1_chr6
bTaeGut1_chr11	10506177	bTaeGut1_chr11
bTaeGut1_chr13	9140741	bTaeGut1_chr13
bTaeGut1_chrZ	37729853	bTaeGut1_chrZ
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr21	12248170	fAnaTes1_chr21
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr23	7679556	fAnaTes1_chr23
fAnaTes1_chr24	9966734	fAnaTes1_chr24
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr10	19941491	fArcCen1_chr10
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_chr20	16555437	fArcCen1_chr20
fArcCen1_chr21	17795000	fArcCen1_chr21
fArcCen1_chr23	12310491	fArcCen1_chr23
fArcCen1_chr24	17998600	fArcCen1_chr24
fArcCen1_scaffold_26_ctg1	3831496	fArcCen1_scaffold_26_ctg1
fArcCen1_scaffold_30_ctg1	2198798	fArcCen1_scaffold_30_ctg1
fArcCen1_scaffold_54_ctg1	1042622	fArcCen1_scaffold_54_ctg1
fArcCen1_scaffold_68_ctg1	471685	fArcCen1_scaffold_68_ctg1
fArcCen1_scaffold_71_ctg1	292659	fArcCen1_scaffold_71_ctg1
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr2	19107848	fAstCal1_chr2
fAstCal1_chr5	19339139	fAstCal1_chr5
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr8	12913854	fAstCal1_chr8
fAstCal1_chr9	17956569	fAstCal1_chr9
fAstCal1_chr10	17037060	fAstCal1_chr10
fAstCal1_chr11	18338033	fAstCal1_chr11
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr13	16572975	fAstCal1_chr13
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr16	17900926	fAstCal1_chr16
fAstCal1_chr17	19724457	fAstCal1_chr17
fAstCal1_chr18	17926294	fAstCal1_chr18
fAstCal1_chr22	17505732	fAstCal1_chr22
fAstCal1_chr23	21960902	fAstCal1_chr23
fAstCal1_LS419878.1	35496	fAstCal1_LS419878.1
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr4	14474522	fCotGob3_chr4
fCotGob3_chr5	15239719	fCotGob3_chr5
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr10	13719134	fCotGob3_chr10
fCotGob3_chr11	11096709	fCotGob3_chr11
fCotGob3_chr12	11451260	fCotGob3_chr12
fCotGob3_chr14	12852251	fCotGob3_chr14
fCotGob3_chr15	12481605	fCotGob3_chr15
fCotGob3_chr16	13290699	fCotGob3_chr16
fCotGob3_chr17	12578072	fCotGob3_chr17
fCotGob3_chr19	10530063	fCotGob3_chr19
fCotGob3_chr20	8799899	fCotGob3_chr20
fCotGob3_chr21	12052396	fCotGob3_chr21
fCotGob3_chr23	7966181	fCotGob3_chr23
fCotGob3_chr24	11220910	fCotGob3_chr24
fCotGob3_fCotGob3_242arrow_ctg1	115087	fCotGob3_fCotGob3_242arrow_ctg1
fCotGob3_fCotGob3_339arrow_ctg1	64270	fCotGob3_fCotGob3_339arrow_ctg1
fCotGob3_fCotGob3_402arrow_ctg1	64952	fCotGob3_fCotGob3_402arrow_ctg1
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr5	21401395	fGouWil2_chr5
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr9	21574856	fGouWil2_chr9
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr11	16291782	fGouWil2_chr11
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr14	18400844	fGouWil2_chr14
fGouWil2_chr16	20117201	fGouWil2_chr16
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr19	13491330	fGouWil2_chr19
fGouWil2_chr20	14393881	fGouWil2_chr20
fGouWil2_chr21	19489022	fGouWil2_chr21
fGouWil2_chr24	12975636	fGouWil2_chr24
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr4	13906038	fMasArm1_chr4
fMasArm1_chr5	14381481	fMasArm1_chr5
fMasArm1_chr9	12911114	fMasArm1_chr9
fMasArm1_chr10	14562035	fMasArm1_chr10
fMasArm1_chr11	11470894	fMasArm1_chr11
fMasArm1_chr12	10521815	fMasArm1_chr12
fMasArm1_chr14	12403600	fMasArm1_chr14
fMasArm1_chr16	12930792	fMasArm1_chr16
fMasArm1_chr17	12474818	fMasArm1_chr17
fMasArm1_chr19	9960384	fMasArm1_chr19
fMasArm1_chr20	10031731	fMasArm1_chr20
