sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	10
9	10
10	10
11	3
12	3
13	3
14	11
15	11
16	11
17	4
18	4
19	4
20	4
21	4
22	4
23	4
24	4
25	12
26	12
27	12
28	12
29	12
30	12
31	12
32	12
33	5
34	5
35	5
36	5
37	5
38	5
39	5
40	5
41	5
42	13
43	13
44	13
45	13
46	13
47	13
48	13
49	13
50	13
51	13
52	13
53	6
54	6
55	6
56	6
57	6
58	6
59	6
60	14
61	14
62	14
63	14
64	14
65	14
66	14
67	14
68	7
69	7
70	7
71	15
72	15
73	15
74	15
75	8
76	8
77	16
78	16
79	16
80	16
81	9
82	9
83	9
84	17
85	17
86	17
87	17
88	17
