chr	locus	value
chr15	50995594	chr15
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr10	64145729	aRhiBiv1_chr10
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
aRhiBiv1_chr14	41331154	aRhiBiv1_chr14
aRhiBiv1_chr17	31968323	aRhiBiv1_chr17
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr5	8322942	bCalAnn1_chr5
bCalAnn1_chr8	15545074	bCalAnn1_chr8
bCalAnn1_chr10	11332195	bCalAnn1_chr10
bCalAnn1_chr14	7748530	bCalAnn1_chr14
bCalAnn1_chr20	7558437	bCalAnn1_chr20
bCalAnn1_chr5A	21940423	bCalAnn1_chr5A
bCalAnn1_scaffold_22_arrow_ctg1	43472	bCalAnn1_scaffold_22_arrow_ctg1
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr4	43230195	bStrHab1_chr4
bStrHab1_chr8	31744467	bStrHab1_chr8
bStrHab1_chr9	22215744	bStrHab1_chr9
bStrHab1_chr13	8238080	bStrHab1_chr13
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr5	31002683	bTaeGut1_chr5
bTaeGut1_chr8	16305014	bTaeGut1_chr8
bTaeGut1_chr10	11008505	bTaeGut1_chr10
bTaeGut1_chr14	8336733	bTaeGut1_chr14
bTaeGut1_chr20	7839383	bTaeGut1_chr20
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr18	15540457	fAnaTes1_chr18
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr24	9966734	fAnaTes1_chr24
fArcCen1_chr2	15730425	fArcCen1_chr2
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_chr22	14647140	fArcCen1_chr22
fArcCen1_chr24	17998600	fArcCen1_chr24
fArcCen1_scaffold_26_ctg1	3831496	fArcCen1_scaffold_26_ctg1
fArcCen1_scaffold_32_ctg1	2039908	fArcCen1_scaffold_32_ctg1
fArcCen1_scaffold_37_ctg1	1814926	fArcCen1_scaffold_37_ctg1
fArcCen1_scaffold_48_ctg1	1178362	fArcCen1_scaffold_48_ctg1
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr8	12913854	fAstCal1_chr8
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr19	15431565	fAstCal1_chr19
fAstCal1_chr22	17505732	fAstCal1_chr22
fAstCal1_chr23	21960902	fAstCal1_chr23
fAstCal1_LS419797.1	495715	fAstCal1_LS419797.1
fCotGob3_chr2	6461564	fCotGob3_chr2
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr6	13840172	fCotGob3_chr6
fCotGob3_chr11	11096709	fCotGob3_chr11
fCotGob3_chr17	12578072	fCotGob3_chr17
fCotGob3_chr19	10530063	fCotGob3_chr19
fCotGob3_chr22	11304556	fCotGob3_chr22
fCotGob3_chr24	11220910	fCotGob3_chr24
fCotGob3_fCotGob3_240arrow_ctg1	277042	fCotGob3_fCotGob3_240arrow_ctg1
fGouWil2_chr2	6924416	fGouWil2_chr2
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr5	21401395	fGouWil2_chr5
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr11	16291782	fGouWil2_chr11
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr19	13491330	fGouWil2_chr19
fGouWil2_chr22	17338308	fGouWil2_chr22
fGouWil2_chr24	12975636	fGouWil2_chr24
fGouWil2_scaffold_122_arrow_ctg1	84184	fGouWil2_scaffold_122_arrow_ctg1
fGouWil2_scaffold_430_arrow_ctg1	43905	fGouWil2_scaffold_430_arrow_ctg1
fMasArm1_chr2	5724603	fMasArm1_chr2
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr5	14381481	fMasArm1_chr5
fMasArm1_chr6	12545156	fMasArm1_chr6
fMasArm1_chr11	11470894	fMasArm1_chr11
fMasArm1_chr19	9960384	fMasArm1_chr19
fMasArm1_chr22	11643006	fMasArm1_chr22
fMasArm1_chr24	10664311	fMasArm1_chr24
fMasArm1_Contig162arrow_ctg1	243831	fMasArm1_Contig162arrow_ctg1
fMasArm1_Contig61arrow_3_ctg1	484058	fMasArm1_Contig61arrow_3_ctg1
mLynCan4_chrB3	73053008	mLynCan4_chrB3
mLynCan4_chrB4	70655818	mLynCan4_chrB4
mLynCan4_chrD3	46724169	mLynCan4_chrD3
mLynCan4_chrE3	20525415	mLynCan4_chrE3
mLynCan4_chrF2	41635303	mLynCan4_chrF2
mOrnAna1_chr2	85859831	mOrnAna1_chr2
mOrnAna1_chr3	70993541	mOrnAna1_chr3
mOrnAna1_chr4	68047194	mOrnAna1_chr4
mOrnAna1_chr5	55146515	mOrnAna1_chr5
mOrnAna1_chr8	35474907	mOrnAna1_chr8
mOrnAna1_chr13	21147321	mOrnAna1_chr13
mOrnAna1_chr14	26444703	mOrnAna1_chr14
mOrnAna1_chr17	22768335	mOrnAna1_chr17
mOrnAna1_chr18	22342250	mOrnAna1_chr18
mOrnAna1_chrX5	35069660	mOrnAna1_chrX5
mPhyDis1_chr1	109215071	mPhyDis1_chr1
mPhyDis1_chr2	108682542	mPhyDis1_chr2
mPhyDis1_chr7	69623964	mPhyDis1_chr7
mPhyDis1_chr12	38979755	mPhyDis1_chr12
mPhyDis1_chr14	26137462	mPhyDis1_chr14
mRhiFer1_chr2	54630944	mRhiFer1_chr2
mRhiFer1_chr6	50576792	mRhiFer1_chr6
mRhiFer1_chr7	50138214	mRhiFer1_chr7
mRhiFer1_chr11	44559714	mRhiFer1_chr11
mRhiFer1_chr14	36703276	mRhiFer1_chr14
mRhiFer1_chr28	8332144	mRhiFer1_chr28
mRhiFer1_chrX	62466689	mRhiFer1_chrX
rGopEvg1_chr1	185167572	rGopEvg1_chr1
rGopEvg1_chr2	149723587	rGopEvg1_chr2
rGopEvg1_chr4	77959320	rGopEvg1_chr4
rGopEvg1_chr8	56986431	rGopEvg1_chr8
rGopEvg1_chr10	43246753	rGopEvg1_chr10
rGopEvg1_chr14	17011897	rGopEvg1_chr14
sAmbRad1_chr3	65657566	sAmbRad1_chr3
sAmbRad1_chr4	60907368	sAmbRad1_chr4
sAmbRad1_chr6	52462704	sAmbRad1_chr6
sAmbRad1_chr9	37664526	sAmbRad1_chr9
sAmbRad1_chr10	35047381	sAmbRad1_chr10
sAmbRad1_chr14	30446330	sAmbRad1_chr14
sAmbRad1_chr19	23845658	sAmbRad1_chr19
sAmbRad1_chr20	23377017	sAmbRad1_chr20
sAmbRad1_chr22	21894191	sAmbRad1_chr22
sAmbRad1_chr23	21075475	sAmbRad1_chr23
sAmbRad1_chr34	13384100	sAmbRad1_chr34
sAmbRad1_chr44	8031501	sAmbRad1_chr44
sAmbRad1_scaffold_860_ctg1	23893	sAmbRad1_scaffold_860_ctg1
