chr	locus	value
chr20	32222083	chr20
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr10	64145729	aRhiBiv1_chr10
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
aRhiBiv1_chr15	40496056	aRhiBiv1_chr15
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bCalAnn1_chr8	15545074	bCalAnn1_chr8
bCalAnn1_chr10	11332195	bCalAnn1_chr10
bCalAnn1_chr15	6943582	bCalAnn1_chr15
bCalAnn1_chr20	7558437	bCalAnn1_chr20
bCalAnn1_chr21	3855027	bCalAnn1_chr21
bCalAnn1_chr4B	11645972	bCalAnn1_chr4B
bStrHab1_chr6	38215952	bStrHab1_chr6
bStrHab1_chr7	35065617	bStrHab1_chr7
bStrHab1_chr8	31744467	bStrHab1_chr8
bStrHab1_chr9	22215744	bStrHab1_chr9
bStrHab1_chr10	21882236	bStrHab1_chr10
bStrHab1_chr11	19593555	bStrHab1_chr11
bStrHab1_chr12	13716746	bStrHab1_chr12
bStrHab1_chr13	8238080	bStrHab1_chr13
bStrHab1_chr16	4209525	bStrHab1_chr16
bTaeGut1_chr3	56614179	bTaeGut1_chr3
bTaeGut1_chr4	35776459	bTaeGut1_chr4
bTaeGut1_chr8	16305014	bTaeGut1_chr8
bTaeGut1_chr10	11008505	bTaeGut1_chr10
bTaeGut1_chr15	7163281	bTaeGut1_chr15
bTaeGut1_chr20	7839383	bTaeGut1_chr20
bTaeGut1_chr21	4445781	bTaeGut1_chr21
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr7	12553221	fAnaTes1_chr7
fAnaTes1_chr8	10916276	fAnaTes1_chr8
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr15	10960625	fAnaTes1_chr15
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr24	9966734	fAnaTes1_chr24
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr2	15730425	fArcCen1_chr2
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr7	18908629	fArcCen1_chr7
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr15	15211719	fArcCen1_chr15
fArcCen1_chr22	14647140	fArcCen1_chr22
