chr	locus	value
chr18	40186642	chr18
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr13	41998110	aRhiBiv1_chr13
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr11	10151174	bCalAnn1_chr11
bCalAnn1_chr28	2856993	bCalAnn1_chr28
bCalAnn1_chrW	13224388	bCalAnn1_chrW
bCalAnn1_chrZ	37040502	bCalAnn1_chrZ
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr20	2822878	bStrHab1_chr20
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr11	10506177	bTaeGut1_chr11
bTaeGut1_chr28	3047304	bTaeGut1_chr28
bTaeGut1_chrZ	37729853	bTaeGut1_chrZ
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr15	10960625	fAnaTes1_chr15
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr18	15540457	fAnaTes1_chr18
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr15	15211719	fArcCen1_chr15
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr20	16555437	fArcCen1_chr20
fArcCen1_Super_Scaffold_8	11952072	fArcCen1_Super_Scaffold_8
fArcCen1_scaffold_23_ctg1	4763914	fArcCen1_scaffold_23_ctg1
fAstCal1_chr3	26256207	fAstCal1_chr3
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr9	17956569	fAstCal1_chr9
fAstCal1_chr10	17037060	fAstCal1_chr10
fAstCal1_chr11	18338033	fAstCal1_chr11
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr13	16572975	fAstCal1_chr13
fAstCal1_chr15	20111382	fAstCal1_chr15
fAstCal1_chr18	17926294	fAstCal1_chr18
fAstCal1_chr22	17505732	fAstCal1_chr22
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr4	14474522	fCotGob3_chr4
fCotGob3_chr6	13840172	fCotGob3_chr6
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr11	11096709	fCotGob3_chr11
fCotGob3_chr12	11451260	fCotGob3_chr12
fCotGob3_chr14	12852251	fCotGob3_chr14
fCotGob3_chr15	12481605	fCotGob3_chr15
fCotGob3_chr16	13290699	fCotGob3_chr16
fCotGob3_chr17	12578072	fCotGob3_chr17
fCotGob3_chr18	7465191	fCotGob3_chr18
fCotGob3_chr20	8799899	fCotGob3_chr20
fCotGob3_fCotGob3_193arrow_ctg1	14845	fCotGob3_fCotGob3_193arrow_ctg1
fCotGob3_fCotGob3_54arrow_ctg1	21545	fCotGob3_fCotGob3_54arrow_ctg1
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr9	21574856	fGouWil2_chr9
fGouWil2_chr11	16291782	fGouWil2_chr11
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr14	18400844	fGouWil2_chr14
fGouWil2_chr15	18513505	fGouWil2_chr15
fGouWil2_chr16	20117201	fGouWil2_chr16
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr18	14239168	fGouWil2_chr18
fGouWil2_chr20	14393881	fGouWil2_chr20
fGouWil2_chr21	19489022	fGouWil2_chr21
fGouWil2_chr24	12975636	fGouWil2_chr24
fGouWil2_scaffold_120_arrow_ctg1	316032	fGouWil2_scaffold_120_arrow_ctg1
fMasArm1_chr4	13906038	fMasArm1_chr4
fMasArm1_chr6	12545156	fMasArm1_chr6
fMasArm1_chr9	12911114	fMasArm1_chr9
fMasArm1_chr11	11470894	fMasArm1_chr11
fMasArm1_chr12	10521815	fMasArm1_chr12
fMasArm1_chr14	12403600	fMasArm1_chr14
fMasArm1_chr15	12037531	fMasArm1_chr15
fMasArm1_chr16	12930792	fMasArm1_chr16
fMasArm1_chr17	12474818	fMasArm1_chr17
fMasArm1_chr18	9837967	fMasArm1_chr18
fMasArm1_chr20	10031731	fMasArm1_chr20
fMasArm1_Super_Scaffold_26_ctg1	1211863	fMasArm1_Super_Scaffold_26_ctg1
fMasArm1_Super_Scaffold_28_ctg1	980824	fMasArm1_Super_Scaffold_28_ctg1
mLynCan4_chrB2	76376592	mLynCan4_chrB2
mLynCan4_chrB3	73053008	mLynCan4_chrB3
mLynCan4_chrD3	46724169	mLynCan4_chrD3
mLynCan4_chrE2	30781656	mLynCan4_chrE2
mOrnAna1_chr3	70993541	mOrnAna1_chr3
mOrnAna1_chr5	55146515	mOrnAna1_chr5
mOrnAna1_chr7	41669021	mOrnAna1_chr7
mOrnAna1_chr11	31753015	mOrnAna1_chr11
mOrnAna1_chrX2	14831053	mOrnAna1_chrX2
mOrnAna1_chrX3	16931668	mOrnAna1_chrX3
mOrnAna1_scaffold_181_arrow_ctg1	1105620	mOrnAna1_scaffold_181_arrow_ctg1
mPhyDis1_chr5	87574110	mPhyDis1_chr5
mPhyDis1_chr9	52843984	mPhyDis1_chr9
mPhyDis1_chr12	38979755	mPhyDis1_chr12
mRhiFer1_chr9	47251211	mRhiFer1_chr9
mRhiFer1_chr15	25527915	mRhiFer1_chr15
mRhiFer1_chr19	30241372	mRhiFer1_chr19
mRhiFer1_chr20	28891940	mRhiFer1_chr20
mRhiFer1_chr22	26653654	mRhiFer1_chr22
rGopEvg1_chr2	149723587	rGopEvg1_chr2
rGopEvg1_chr6	68898876	rGopEvg1_chr6
rGopEvg1_chr12	22145997	rGopEvg1_chr12
rGopEvg1_chr22	8636045	rGopEvg1_chr22
sAmbRad1_chr1	96584152	sAmbRad1_chr1
sAmbRad1_chr2	75786849	sAmbRad1_chr2
sAmbRad1_chr4	60907368	sAmbRad1_chr4
sAmbRad1_chr17	25485429	sAmbRad1_chr17
sAmbRad1_chr22	21894191	sAmbRad1_chr22
sAmbRad1_chr27	18460444	sAmbRad1_chr27
