sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	10
15	10
16	10
17	3
18	3
19	3
20	11
21	11
22	11
23	11
24	4
25	4
26	4
27	4
28	4
29	4
30	4
31	4
32	4
33	4
34	12
35	12
36	12
37	12
38	12
39	12
40	12
41	12
42	12
43	12
44	5
45	5
46	5
47	5
48	5
49	5
50	5
51	5
52	5
53	13
54	13
55	13
56	13
57	13
58	13
59	13
60	13
61	13
62	13
63	13
64	13
65	6
66	6
67	6
68	6
69	6
70	6
71	6
72	6
73	6
74	6
75	14
76	14
77	14
78	14
79	14
80	14
81	14
82	14
83	14
84	14
85	7
86	7
87	15
88	15
89	15
90	15
91	15
92	15
93	8
94	8
95	8
96	8
97	16
98	16
99	16
100	9
101	9
102	9
103	17
104	17
105	17
106	17
107	17
108	17
109	17
