sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	10
9	10
10	10
11	10
12	10
13	3
14	3
15	3
16	3
17	3
18	11
19	11
20	11
21	11
22	11
23	4
24	4
25	4
26	4
27	4
28	4
29	4
30	4
31	4
32	4
33	4
34	12
35	12
36	12
37	12
38	12
39	12
40	12
41	12
42	12
43	12
44	12
45	12
46	12
47	12
48	12
49	5
50	5
51	5
52	5
53	5
54	5
55	5
56	5
57	5
58	13
59	13
60	13
61	13
62	13
63	13
64	13
65	13
66	13
67	13
68	13
69	6
70	6
71	6
72	6
73	6
74	6
75	6
76	6
77	6
78	6
79	6
80	6
81	14
82	14
83	14
84	14
85	14
86	14
87	14
88	14
89	14
90	14
91	7
92	7
93	15
94	15
95	15
96	15
97	15
98	15
99	15
100	15
101	8
102	8
103	16
104	9
105	9
106	9
107	9
108	17
109	17
110	17
111	17
112	17
113	17
114	17
