sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	10
8	10
9	10
10	10
11	10
12	3
13	3
14	3
15	11
16	11
17	11
18	11
19	4
20	4
21	4
22	4
23	4
24	4
25	4
26	12
27	12
28	12
29	12
30	12
31	12
32	12
33	12
34	12
35	5
36	5
37	5
38	5
39	5
40	5
41	13
42	13
43	13
44	13
45	13
46	13
47	13
48	6
49	6
50	6
51	6
52	6
53	6
54	6
55	14
56	14
57	14
58	14
59	14
60	14
61	14
62	14
63	7
64	7
65	15
66	15
67	15
68	15
69	15
70	8
71	8
72	16
73	16
74	9
75	9
76	9
77	17
78	17
79	17
80	17
81	17
82	17
83	17
