sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	3
19	3
20	3
21	3
22	3
23	3
24	3
25	3
26	3
27	11
28	11
29	11
30	11
31	11
32	11
33	11
34	4
35	4
36	4
37	4
38	4
39	4
40	4
41	4
42	4
43	4
44	4
45	4
46	12
47	12
48	12
49	12
50	12
51	12
52	12
53	12
54	12
55	12
56	12
57	12
58	12
59	12
60	5
61	5
62	5
63	5
64	5
65	5
66	5
67	5
68	5
69	5
70	13
71	13
72	13
73	13
74	13
75	13
76	13
77	13
78	13
79	13
80	13
81	13
82	13
83	13
84	13
85	13
86	13
87	13
88	6
89	6
90	6
91	6
92	6
93	6
94	6
95	6
96	6
97	6
98	6
99	6
100	6
101	6
102	6
103	6
104	14
105	14
106	14
107	14
108	14
109	14
110	14
111	14
112	14
113	14
114	14
115	14
116	14
117	7
118	7
119	7
120	7
121	7
122	15
123	15
124	15
125	15
126	15
127	15
128	15
129	15
130	15
131	15
132	15
133	15
134	15
135	8
136	8
137	8
138	8
139	8
140	8
141	16
142	16
143	16
144	16
145	16
146	16
147	9
148	9
149	9
150	9
151	9
152	9
153	9
154	9
155	9
156	17
157	17
158	17
159	17
160	17
161	17
162	17
163	17
164	17
