chr	locus	value
chr22	25409234	chr22
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr17	31968323	aRhiBiv1_chr17
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr12	10676250	bCalAnn1_chr12
bCalAnn1_chr15	6943582	bCalAnn1_chr15
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr11	19593555	bStrHab1_chr11
bTaeGut1_chr15	7163281	bTaeGut1_chr15
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr8	10916276	fAnaTes1_chr8
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr23	7679556	fAnaTes1_chr23
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr8	15189776	fArcCen1_chr8
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr23	12310491	fArcCen1_chr23
fAstCal1_chr4	16716539	fAstCal1_chr4
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr17	19724457	fAstCal1_chr17
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr6	13840172	fCotGob3_chr6
fCotGob3_chr8	11716268	fCotGob3_chr8
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr12	11451260	fCotGob3_chr12
fCotGob3_chr23	7966181	fCotGob3_chr23
fCotGob3_fCotGob3_277arrow_ctg1	97428	fCotGob3_fCotGob3_277arrow_ctg1
fCotGob3_fCotGob3_292arrow_ctg1	83180	fCotGob3_fCotGob3_292arrow_ctg1
fCotGob3_fCotGob3_331arrow_ctg1	81750	fCotGob3_fCotGob3_331arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr8	17329174	fGouWil2_chr8
fGouWil2_chr9	21574856	fGouWil2_chr9
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr17	18584809	fGouWil2_chr17
fMasArm1_chr1	13041935	fMasArm1_chr1
fMasArm1_chr6	12545156	fMasArm1_chr6
fMasArm1_chr8	11601063	fMasArm1_chr8
fMasArm1_chr9	12911114	fMasArm1_chr9
fMasArm1_chr12	10521815	fMasArm1_chr12
fMasArm1_chr17	12474818	fMasArm1_chr17
fMasArm1_chr23	8226894	fMasArm1_chr23
mLynCan4_chrA2	84494171	mLynCan4_chrA2
mLynCan4_chrB4	70655818	mLynCan4_chrB4
mLynCan4_chrD3	46724169	mLynCan4_chrD3
mOrnAna1_chr2	85859831	mOrnAna1_chr2
mOrnAna1_chr13	21147321	mOrnAna1_chr13
mOrnAna1_chr14	26444703	mOrnAna1_chr14
mOrnAna1_chr21	12257429	mOrnAna1_chr21
mPhyDis1_chr2	108682542	mPhyDis1_chr2
mPhyDis1_chr7	69623964	mPhyDis1_chr7
mPhyDis1_chr13	38519993	mPhyDis1_chr13
mRhiFer1_chr10	46232412	mRhiFer1_chr10
mRhiFer1_chr25	20170404	mRhiFer1_chr25
rGopEvg1_chr1	185167572	rGopEvg1_chr1
rGopEvg1_chr4	77959320	rGopEvg1_chr4
rGopEvg1_chr13	17026189	rGopEvg1_chr13
sAmbRad1_chr6	52462704	sAmbRad1_chr6
sAmbRad1_chr19	23845658	sAmbRad1_chr19
sAmbRad1_chr21	21987025	sAmbRad1_chr21
sAmbRad1_chr24	20278864	sAmbRad1_chr24
sAmbRad1_chr25	19119878	sAmbRad1_chr25
sAmbRad1_chr38	9745214	sAmbRad1_chr38
