chr	locus	value
chr6	85402989	chr6
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr12	43892527	aRhiBiv1_chr12
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bCalAnn1_chr26	3153366	bCalAnn1_chr26
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr6	38215952	bStrHab1_chr6
bStrHab1_chr10	21882236	bStrHab1_chr10
bStrHab1_chr18	3367274	bStrHab1_chr18
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr3	56614179	bTaeGut1_chr3
bTaeGut1_chr26	3429594	bTaeGut1_chr26
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr7	12553221	fAnaTes1_chr7
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr15	10960625	fAnaTes1_chr15
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr18	15540457	fAnaTes1_chr18
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr24	9966734	fAnaTes1_chr24
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr7	18908629	fArcCen1_chr7
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr15	15211719	fArcCen1_chr15
fArcCen1_chr16	19180007	fArcCen1_chr16
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr22	14647140	fArcCen1_chr22
fArcCen1_chr24	17998600	fArcCen1_chr24
fArcCen1_Super_Scaffold_8	11952072	fArcCen1_Super_Scaffold_8
fArcCen1_scaffold_55_ctg1	980097	fArcCen1_scaffold_55_ctg1
fAstCal1_chr3	26256207	fAstCal1_chr3
fAstCal1_chr5	19339139	fAstCal1_chr5
fAstCal1_chr6	20714010	fAstCal1_chr6
