sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	3
20	3
21	3
22	3
23	3
24	3
25	3
26	11
27	11
28	11
29	11
30	11
31	11
32	11
33	4
34	4
35	4
36	4
37	4
38	4
39	4
40	4
41	4
42	4
43	4
44	4
45	4
46	4
47	4
48	4
49	12
50	12
51	12
52	12
53	12
54	12
55	12
56	12
57	12
58	12
59	12
60	12
61	12
62	12
63	12
64	12
65	12
66	12
67	12
68	12
69	5
70	5
71	5
72	5
73	5
74	5
75	5
76	5
77	5
78	5
79	5
80	5
81	5
82	5
83	5
84	5
85	5
86	13
87	13
88	13
89	13
90	13
91	13
92	13
93	13
94	13
95	13
96	13
97	13
98	13
99	13
100	13
101	13
102	13
103	13
104	13
105	6
106	6
107	6
108	6
109	6
110	6
111	6
112	6
113	6
114	6
115	6
116	6
117	6
118	6
119	6
120	14
121	14
122	14
123	14
124	14
125	14
126	14
127	14
128	14
129	14
130	14
131	14
132	14
133	14
134	14
135	14
136	14
137	7
138	7
139	7
140	7
141	7
142	7
143	15
144	15
145	15
146	15
147	15
148	15
149	15
150	15
151	15
152	15
153	15
154	15
155	15
156	15
157	8
158	8
159	8
160	8
161	8
162	8
163	16
164	16
165	16
166	16
167	16
168	16
169	16
170	16
171	9
172	9
173	9
174	9
175	9
176	9
177	9
178	9
179	17
180	17
181	17
182	17
183	17
184	17
185	17
186	17
187	17
188	17
189	17
190	17
