sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	3
17	3
18	3
19	3
20	3
21	3
22	3
23	11
24	11
25	11
26	11
27	11
28	11
29	11
30	4
31	4
32	4
33	4
34	4
35	4
36	4
37	4
38	4
39	4
40	4
41	4
42	4
43	4
44	12
45	12
46	12
47	12
48	12
49	12
50	12
51	12
52	12
53	12
54	12
55	12
56	12
57	12
58	12
59	5
60	5
61	5
62	5
63	5
64	5
65	5
66	5
67	5
68	5
69	5
70	5
71	13
72	13
73	13
74	13
75	13
76	13
77	13
78	13
79	13
80	13
81	13
82	13
83	13
84	13
85	13
86	6
87	6
88	6
89	6
90	6
91	6
92	6
93	6
94	6
95	6
96	6
97	6
98	6
99	6
100	6
101	6
102	14
103	14
104	14
105	14
106	14
107	14
108	14
109	14
110	14
111	14
112	14
113	14
114	14
115	14
116	7
117	7
118	7
119	15
120	15
121	15
122	15
123	15
124	15
125	15
126	15
127	15
128	15
129	15
130	8
131	8
132	8
133	8
134	16
135	16
136	16
137	16
138	16
139	16
140	16
141	16
142	9
143	9
144	9
145	9
146	9
147	9
148	17
149	17
150	17
151	17
152	17
153	17
154	17
155	17
156	17
157	17
158	17
159	17
160	17
