chr	locus	value
chr1	124478211	chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr4	243437556	aRhiBiv1_chr4
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr10	64145729	aRhiBiv1_chr10
aRhiBiv1_chr11	51703993	aRhiBiv1_chr11
aRhiBiv1_chr12	43892527	aRhiBiv1_chr12
aRhiBiv1_chr15	40496056	aRhiBiv1_chr15
aRhiBiv1_chr16	37390786	aRhiBiv1_chr16
aRhiBiv1_chr19	22717665	aRhiBiv1_chr19
aRhiBiv1_scaffold_1209_arrow_ctg1	14323	aRhiBiv1_scaffold_1209_arrow_ctg1
aRhiBiv1_scaffold_122_arrow_ctg1	302017	aRhiBiv1_scaffold_122_arrow_ctg1
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr3	57405499	bCalAnn1_chr3
bCalAnn1_chr6	17700979	bCalAnn1_chr6
bCalAnn1_chr7	19569607	bCalAnn1_chr7
bCalAnn1_chr8	15545074	bCalAnn1_chr8
bCalAnn1_chr18	5808860	bCalAnn1_chr18
bCalAnn1_chr19	5583001	bCalAnn1_chr19
bCalAnn1_chr21	3855027	bCalAnn1_chr21
bCalAnn1_chr23	3211951	bCalAnn1_chr23
bCalAnn1_chr25	1080955	bCalAnn1_chr25
bCalAnn1_chr26	3153366	bCalAnn1_chr26
bCalAnn1_chrZ	37040502	bCalAnn1_chrZ
bCalAnn1_scaffold_101_arrow_ctg1	13710	bCalAnn1_scaffold_101_arrow_ctg1
bCalAnn1_scaffold_108_arrow_ctg1	46006	bCalAnn1_scaffold_108_arrow_ctg1
bCalAnn1_scaffold_163_arrow_ctg1	14296	bCalAnn1_scaffold_163_arrow_ctg1
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr5	41620323	bStrHab1_chr5
bStrHab1_chr8	31744467	bStrHab1_chr8
bStrHab1_chr10	21882236	bStrHab1_chr10
bStrHab1_chr12	13716746	bStrHab1_chr12
bStrHab1_chr16	4209525	bStrHab1_chr16
bStrHab1_chr18	3367274	bStrHab1_chr18
bStrHab1_chr22	1453513	bStrHab1_chr22
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bStrHab1_S16	6112199	bStrHab1_S16
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr3	56614179	bTaeGut1_chr3
bTaeGut1_chr6	17832517	bTaeGut1_chr6
bTaeGut1_chr7	19030007	bTaeGut1_chr7
bTaeGut1_chr8	16305014	bTaeGut1_chr8
bTaeGut1_chr19	4290453	bTaeGut1_chr19
bTaeGut1_chr21	4445781	bTaeGut1_chr21
bTaeGut1_chr23	3414961	bTaeGut1_chr23
bTaeGut1_chr25	1511151	bTaeGut1_chr25
bTaeGut1_chr26	3429594	bTaeGut1_chr26
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
bTaeGut1_chrZ	37729853	bTaeGut1_chrZ
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr7	12553221	fAnaTes1_chr7
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr13	12956420	fAnaTes1_chr13
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr15	10960625	fAnaTes1_chr15
fAnaTes1_chr16	12217087	fAnaTes1_chr16
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr18	15540457	fAnaTes1_chr18
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr21	12248170	fAnaTes1_chr21
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fAnaTes1_chr24	9966734	fAnaTes1_chr24
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr2	15730425	fArcCen1_chr2
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr4	19261569	fArcCen1_chr4
