,start1,end1,start2,end2,col
2261,1097426212,1097426212,1952371957,1952371957,48
2260,943103953,943103953,1332131699,1332131699,48
2259,1763916984,1763916984,302809556,302809556,47
2258,927545893,927545893,2067183564,2067183564,47
2252,1726620594,1726620594,1999761485,1999761485,46
2249,2392340529,2392340529,1991731910,1991731910,46
2250,2437112955,2437112955,616368633,616368633,46
2251,1726708347,1726708347,1999662874,1999662874,46
2253,773009461,773009461,1993326316,1993326316,46
2254,2393627820,2393627820,1993116546,1993116546,46
2255,1726477442,1726477442,1999888236,1999888236,46
2256,1726205537,1726205537,2000077635,2000077635,46
2257,1726132667,1726132667,2000185389,2000185389,46
2244,1162471874,1162471874,2690526849,2690526849,45
2248,2540107314,2540107314,2400809892,2400809892,45
2247,1146490427,1146490427,2701886704,2701886704,45
2246,1157299310,1157299310,2695797921,2695797921,45
2245,1150099193,1150099193,2699879875,2699879875,45
2243,681196609,681196609,1651113219,1651113219,44
2234,1389404650,1389404650,2667100504,2667100504,43
2241,1297826731,1297826731,2662315233,2662315233,43
2240,399377284,399377284,2749781692,2749781692,43
2239,1372103604,1372103604,2674056710,2674056710,43
2238,909196376,909196376,93346646,93346646,43
2237,1389428316,1389428316,2667057908,2667057908,43
2236,1463322751,1463322751,2664526763,2664526763,43
2235,1388496310,1388496310,2668163097,2668163097,43
2242,1669182080,1669182080,2821803269,2821803269,43
2218,2370912798,2370912798,2862014997,2862014997,42
2221,2370886650,2370886650,2861991022,2861991022,42
2220,2370777937,2370777937,2861869447,2861869447,42
2219,1304370485,1304370485,2185326719,2185326719,42
2223,2539768116,2539768116,2401126951,2401126951,42
2217,2370936876,2370936876,2862032504,2862032504,42
2216,2372280411,2372280411,2863712546,2863712546,42
2215,2371176515,2371176515,2862295215,2862295215,42
2214,342793637,342793637,1838912954,1838912954,42
2222,2374090014,2374090014,2865643452,2865643452,42
2231,1519929728,1519929728,2866695964,2866695964,42
2224,2374156390,2374156390,2865712337,2865712337,42
2226,2369623037,2369623037,2860650858,2860650858,42
2227,2369654102,2369654102,2860657575,2860657575,42
2228,1378129903,1378129903,2859583147,2859583147,42
2229,154572623,154572623,200644254,200644254,42
2230,2375528870,2375528870,2866768845,2866768845,42
2232,2373059484,2373059484,2864529613,2864529613,42
2233,2372140763,2372140763,2863582857,2863582857,42
2225,2369672173,2369672173,2860694549,2860694549,42
2192,1507334941,1507334941,2370590652,2370590652,41
2198,359936204,359936204,2343407747,2343407747,41
2197,1506103392,1506103392,2371975944,2371975944,41
2196,1504703304,1504703304,2373479347,2373479347,41
2195,1504521240,1504521240,2373657077,2373657077,41
2193,662948090,662948090,2342253443,2342253443,41
2187,1201169729,1201169729,320087088,320087088,41
2191,1506859366,1506859366,2371155470,2371155470,41
2190,1506830111,1506830111,2371203369,2371203369,41
2189,1202661813,1202661813,2400093507,2400093507,41
2188,1201135853,1201135853,2329355692,2329355692,41
2186,1201069028,1201069028,2329392498,2329392498,41
2200,1502204167,1502204167,2374354992,2374354992,41
2199,1504850695,1504850695,2373341102,2373341102,41
2194,1504394612,1504394612,2373799934,2373799934,41
2201,1503148034,1503148034,2375382870,2375382870,41
2207,732513450,732513450,52032697,52032697,41
2213,1515514178,1515514178,2361572900,2361572900,41
2212,1518277208,1518277208,2358874702,2358874702,41
2210,1514242515,1514242515,2362838892,2362838892,41
2209,1504172996,1504172996,2374049386,2374049386,41
2208,1504381673,1504381673,2373806934,2373806934,41
2211,1515011049,1515011049,2362048421,2362048421,41
2206,1220021424,1220021424,2383214832,2383214832,41
