start1	end1	start2	end2	col
3068663436	3068663436	2942648999	2942648999	48
3064601547	3064601547	2935196204	2935196204	48
3063448037	3063448037	2986298624	2986298624	47
3062098785	3062098785	2983475708	2983475708	47
3052895225	3052895225	2998830376	2998830376	46
3048741637	3048741637	2993800810	2993800810	46
3050178098	3050178098	1868489256	1868489256	46
3051113729	3051113729	2996948619	2996948619	46
3053127080	3053127080	2999051492	2999051492	46
3053254295	3053254295	2999201284	2999201284	46
3053684243	3053684243	2999556214	2999556214	46
3055509413	3055509413	3001223892	3001223892	46
3056257210	3056257210	3001777044	3001777044	46
3039078861	3039078861	2924122937	2924122937	45
3044998613	3044998613	2931158432	2931158432	45
3044618533	3044618533	2930796104	2930796104	45
3041252079	3041252079	2926407187	2926407187	45
3039493600	3039493600	2924489031	2924489031	45
3013584879	3013584879	2609515347	2609515347	44
2997698001	2997698001	2809051938	2809051938	43
3006997496	3006997496	2819146639	2819146639	43
3006366395	3006366395	2818529749	2818529749	43
3006227083	3006227083	2818403554	2818403554	43
3003142613	3003142613	2814727785	2814727785	43
2999655267	2999655267	2811066661	2811066661	43
2998917647	2998917647	2810361392	2810361392	43
2997808038	2997808038	2809151732	2809151732	43
3007249949	3007249949	2819384806	2819384806	43
2977789695	2977789695	2869362175	2869362175	42
2980021401	2980021401	2871521882	2871521882	42
2979788520	2979788520	2871267531	2871267531	42
2978612332	2978612332	2870154451	2870154451	42
2981113678	2981113678	2228626928	2228626928	42
2977765942	2977765942	2869335596	2869335596	42
2977696771	2977696771	2869262507	2869262507	42
2976266297	2976266297	2867890352	2867890352	42
2973742212	2973742212	2103090246	2103090246	42
2981006580	2981006580	2872482552	2872482552	42
2987660324	2987660324	2880027245	2880027245	42
2981132699	2981132699	2872607374	2872607374	42
2986517637	2986517637	2878966292	2878966292	42
2986626171	2986626171	2879045768	2879045768	42
2986801255	2986801255	2879184006	2879184006	42
2987114969	2987114969	2879487181	2879487181	42
2987592662	2987592662	2879973850	2879973850	42
2987704500	2987704500	2880060052	2880060052	42
2988138764	2988138764	2880515998	2880515998	42
2984491957	2984491957	2875771688	2875771688	42
2954132715	2954132715	2952300450	2952300450	41
2958660091	2958660091	2956567355	2956567355	41
2955548718	2955548718	2953733234	2953733234	41
2954734481	2954734481	2952912316	2952912316	41
2954592340	2954592340	2952764120	2952764120	41
2954313290	2954313290	2952485761	2952485761	41
2952498308	2952498308	2950849793	2950849793	41
2953010420	2953010420	2951296880	2951296880	41
2952799428	2952799428	2951133151	2951133151	41
2952725631	2952725631	2951065894	2951065894	41
2952502247	2952502247	2950840148	2950840148	41
2952458225	2952458225	2950811910	2950811910	41
2959173821	2959173821	2957100406	2957100406	41
2959024022	2959024022	2956997882	2956997882	41
2954325707	2954325707	2952497890	2952497890	41
2959952000	2959952000	2957754108	2957754108	41
2964223583	2964223583	2961919292	2961919292	41
2972321424	2972321424	2969534275	2969534275	41
2970230274	2970230274	2967732400	2967732400	41
2965958283	2965958283	2963694178	2963694178	41
